# File: SSPs_IMAGE_emf_agg_cle_rev_2025-05-22.csv
# Title: GAINS model emission factors
# Units: emission factors
# Source: GAINS model
# Description: GAINS emission factor data by sector and gas for historical and modeled years
# Column types: ccccnnnnnnnnnnnnnnn
# ----------
scen,Group_Region,EMF30_AGG,POLLUTANT_FRACTION,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,AFRI_EAST,CEMENT,CO,,,,,,,,0.2768012460409754,0.2731047969478235,0.2682303944937779,0.2626579481064726,0.2520606799533711,0.2474246316923814,0.2360551991478195,0.2260963330716164,0.2174044006618521,0.2096481837741598,0.2026994482819175,0.1964978698087713,0.1909440033420121,0.1859060705268424,0.1813361540215903,0.1771822973148026
SSP1,AFRI_EAST,CEMENT,NOX,,,,,,,,2.576437039277699,2.542030877840148,2.496660449756562,2.444792701771362,2.346154438485629,2.303002586294456,2.197177097636639,2.104481014093224,2.023577416570762,1.9513833612334408,1.8867052582464832,1.8289816146259052,1.777286806597322,1.7303942550208942,1.68785795029344,1.6491942866420288
SSP1,AFRI_EAST,CEMENT,PM_BC,,,,,,,,0.0005207062369375,0.000393872453099,0.0003868425771195,0.000378805980352,0.0003635225724798,0.0003538385426828,0.000337579274496,0.0003233372379006,0.0003109070256136,0.0002998149671491,0.0002898776766569,0.0002810088850808,0.000273066377484,0.0002658616994644,0.0002593263250947,0.0002533859520866
SSP1,AFRI_EAST,CEMENT,PM_OC,,,,,,,,0.001859568059707,0.0009887504591718,0.0009711031394671,0.000950928616772,0.0009125621952758,0.0008719959089428,0.0008319267428374,0.0007968288206267,0.0007661959388061,0.0007388607889115,0.0007143714368202,0.0006925152819961,0.0006729418514742,0.0006551867202478,0.0006390810137563,0.0006244416222379
SSP1,AFRI_EAST,CEMENT,SO2,,,,,,,,0.516623527259707,0.5097244522152348,0.5006268378615782,0.4902263900700638,0.4704475844076002,0.4617948357679348,0.440574857794124,0.4219875696464635,0.4057648941908383,0.3912886438703548,0.3783194817320258,0.366744817993336,0.3563790478784073,0.3469762194652536,0.3384468995362668,0.3306941161428193
SSP1,AFRI_EAST,CHEM,NH3,,,,,,,,0.0022813211133693,0.0022508559782541,0.0022106824696716,0.0021647558715139,0.0020774160494304,0.0020392069917341,0.0019455031992768,0.001863424914696,0.0017917883552297,0.0017278637103849,0.0016705941091226,0.0016194823742249,0.0015737089067544,0.0015321876251006,0.0014945236074747,0.0014602886423412
SSP1,AFRI_EAST,CHEM,NOX,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,CHEM,SO2,,,,,,,,3.858408317829064,3.806882502351565,3.738936872618556,3.661261017473551,3.513542796645387,3.448919651237249,3.2904380196464715,3.1516186600729257,3.0304594355841816,2.9223434058249507,2.825483080211776,2.739037580754325,2.6616207162063827,2.5913955920180416,2.5276942752507074,2.4697925298728456
SSP1,AFRI_EAST,CHEM,VOC,,,,,,,,0.991878744943204,0.9786330340235384,0.9611662911615824,0.941198205006054,0.9032243693175802,0.8866117355365679,0.845870956207319,0.8101847455200323,0.7790384153172704,0.7512450914717096,0.7263452648359321,0.70412277140214,0.684221263806268,0.6661685326524529,0.6497928728150919,0.63490810536577
SSP1,AFRI_EAST,CUSM,CO,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,CUSM,NOX,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,CUSM,PM_BC,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,CUSM,PM_OC,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,CUSM,SO2,,,,,,,,69.4315121460243,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,CO,,,,,,,,0.2975636234829612,0.3,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2711499999999999,0.2430554236560096,0.233711524595181,0.2253735274415128,0.2179035794507796,0.2112368314206419,0.2052663791418804,0.1998505597957358,0.1949378618445275,0.1904724316097309
