# File: SSPs_IMAGE_emf_agg_middle_2025-05-22.csv
# Title: GAINS model emission factors
# Units: emission factors
# Source: GAINS model
# Description: GAINS emission factor data by sector and gas for historical and modeled years
# Column types: ccccnnnnnnnnnnnnnnn
# ----------
scen,Group_Region,EMF30_AGG,POLLUTANT_FRACTION,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,AFRI_EAST,CEMENT,CO,0.261938331043795,0.2560780194816438,0.2526341062944668,0.2444064519509879,0.24014917573302016,0.22965981716333098,0.2213900425582627,0.21238591038306312,0.20442483595712072,0.19735075275454414,0.19107396882399252,0.1860223993398514,0.18141421033754504,0.17629090481379273,0.1716608931727333
SSP1,AFRI_EAST,CEMENT,NOX,2.292775363772777,2.217468308618586,2.2061726132115145,2.1508539927227757,2.1117313482085036,2.015772848674442,1.9605075627866264,1.85833983683266,1.7664392341639403,1.6833531038851082,1.6082466026966291,1.5637401513901925,1.523360639222327,1.4420285158895998,1.3664048221678669
SSP1,AFRI_EAST,CEMENT,PM_BC,0.00035093514671357616,0.00033865010431931026,0.0003375165694232793,0.00032956384058293334,0.0003207870608477058,0.0003060500108992765,0.0002981737705505612,0.00028187410904131785,0.00026715398886282665,0.0002537902214357331,0.00024165453954116348,0.00023482581484395073,0.00022863116243964428,0.00021494177458497514,0.00020213359723567605
SSP1,AFRI_EAST,CEMENT,PM_OC,0.0008812880491588029,0.0008504948715581908,0.000847602970771481,0.000827589324322246,0.0007908212437931584,0.000754492316878765,0.0007350286198910697,0.0006948912854626503,0.0006586428560439268,0.0006257333080935056,0.000595846541253646,0.0005790012567018262,0.0005637185731070768,0.0005300249972577894,0.0004984956677208266
SSP1,AFRI_EAST,CEMENT,SO2,0.45978870704675967,0.4446946166060995,0.4424232454487168,0.4313224888333261,0.4234757007346538,0.40422768261389147,0.39313587798114213,0.37264632693442123,0.3542133400210088,0.3375456337288312,0.3224758064550009,0.3135416031394896,0.30543492784894116,0.2891082626621308,0.2739218738013091
SSP1,AFRI_EAST,CHEM,NH3,0.002017246730632558,0.00194872216096265,0.0019405638230670674,0.0018934395447963003,0.001858812586259028,0.0017738935243446,0.001726829218235375,0.0016345894469269155,0.0015514567420615516,0.0014761448454822749,0.0014079145403495235,0.0013685779667420624,0.001332895615320828,0.001257417987439986,0.0011870268868656437
SSP1,AFRI_EAST,CHEM,NOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,CHEM,SO2,3.4330516036568626,3.3201947635412363,3.3033574686873814,3.220616909459882,3.162052183933757,3.0184282053046148,2.935789077254728,2.7828226134981646,2.6452589708128467,2.520922695185304,2.4085635459607477,2.3420334279898603,2.2816837118905045,2.160106196691992,2.0471315472424236
SSP1,AFRI_EAST,CHEM,VOC,0.8987200459272139,0.8669892547663846,0.8565749638335168,0.834250209694057,0.8191950103300146,0.7807033665628829,0.7573578122762797,0.7169957513812762,0.6800698470919914,0.6460208567314406,0.614527381673714,0.5950690548335116,0.5771995202482018,0.540988629049998,0.505942396463348
SSP1,AFRI_EAST,CUSM,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,CUSM,NOX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,CUSM,PM_BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,CUSM,PM_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,CUSM,SO2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,CO,0.3,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2711499999999999,0.24299640618288385,0.23181200666438276,0.2209139228775973,0.21013438201943213,0.19937696450211412,0.19018907582505346,0.18147782482446043,0.16836807308999932,0.1541186564390043
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,NH3,0.004686100229635988,0.004580102523831913,0.004519398256667511,0.004373985423470275,0.004298709426650028,0.004095352770314318,0.003937570311381342,0.0037550178194063343,0.003586013297959903,0.00342776053365715,0.00327865253336857,0.0031650132429175094,0.0030593179137409533,0.0028967986139999406,0.0027328369823167
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,NOX,0.1204167309705378,0.1174576656196299,0.11608247967335716,0.11250487101022738,0.11054769509290188,0.1053822970281747,0.10156432809591637,0.09677733830456586,0.09238322074695883,0.08830927387508722,0.08451371586758274,0.08174190681585647,0.07917664075726615,0.07509332646399969,0.07105376154023524
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,PM_BC,0.0022782108120353484,0.0021983311912574127,0.002191072356725259,0.0021395346605563624,0.0021001863914984595,0.0020036731963487065,0.0019521932469152327,0.0018453441033100875,0.0017488385536095748,0.0016612149611532124,0.0015816333184923905,0.0015369098829628126,0.0014963389148706563,0.0014064761096350548,0.0013223829661465453
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,PM_OC,0.003263566851951464,0.0031491407698452873,0.003138740414592628,0.003064910285094531,0.003008543618675566,0.0028702831544114315,0.0027965326491623905,0.0026434663431714437,0.002505215757512344,0.0023796870876024875,0.002265677016986375,0.0022016034162966095,0.0021434782538091953,0.002014732302163189,0.0018942483323587406
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,SO2,0.025,0.025,0.025,0.025,0.0249999999999999,0.0237499999999999,0.0225,0.0212499999999999,0.0199999999999999,0.01875,0.017588575166842837,0.016985222464587786,0.016421589568705024,0.01581602431999987,0.01518762241158366
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,VOC,0.0508259777006502,0.050825957663106,0.0508259376255619,0.0508259089655227,0.0508258803054836,0.0472432922749352,0.0436607042443869,0.0400781162138385,0.03799815943654302,0.03641661282372288,0.03487960082157059,0.03350653156160048,0.03221421406660776,0.030543782680000155,0.028761842684115656
SSP1,AFRI_EAST,End_Use_Industry_Coal,CO,0.5575462638998844,0.4873343257350912,0.4006868239757427,0.31628656290986673,0.24963653603414665,0.2376593134948312,0.22917513622207297,0.21763520425298283,0.2069187121384224,0.19686009300716892,0.18736419502783103,0.18073111085831028,0.17456839737667082,0.1636007275766707,0.15259015494048625
SSP1,AFRI_EAST,End_Use_Industry_Coal,NH3,0.0005318654446719,0.0005318654446719,0.0005318654446719,0.0005318654446719,0.0005318654446719,0.0004796789002047,0.0004274923557375,0.0003753058112703,0.0003231192668031,0.0002709327223359,0.0002187461778687,0.0001665596334015,0.0001143730889343,6.218654446719181e-05,1e-05
SSP1,AFRI_EAST,End_Use_Industry_Coal,NOX,0.09225414238841909,0.09009047644105053,0.08895578542397874,0.08614505492310674,0.08465564778565146,0.08048676515069415,0.07733443789924681,0.0734623588525504,0.06980991330359392,0.06632177551310756,0.0629661495947783,0.060499771346705644,0.05819057192218423,0.05418842126162336,0.050060880743209635
SSP1,AFRI_EAST,End_Use_Industry_Coal,PM_BC,0.0139023182393398,0.010378183694947,0.0068540491505543,0.0054220822276578,0.0039901153047613,0.0035911037742852,0.0031920922438091,0.0027930807133329,0.002651588901997231,0.002519376929859625,0.002385692910486164,0.0022684958170476966,0.0021569733960661377,0.0019905409002293232,0.0018070690948978922
SSP1,AFRI_EAST,End_Use_Industry_Coal,PM_OC,0.0141424790700229,0.0106672801833021,0.0071920812965813,0.0056963125480827,0.0042005437995841,0.0037804894196257,0.0033604350396673,0.0029403806597089,0.0025203262797505,0.002100271899792,0.0016933176508997718,0.0015930654324401608,0.0014966388760740655,0.0013679143718266608,0.0012182616334531031
SSP1,AFRI_EAST,End_Use_Industry_Coal,SO2,0.36639595228372585,0.358252795100102,0.35339296844995916,0.3419257568055404,0.3360541252207785,0.3193860640458852,0.30641669687960554,0.2912275454733681,0.2768265006297583,0.2629954538477638,0.24960905744665612,0.23953609382419366,0.23008277013873088,0.21402883408957327,0.19732508650713113
SSP1,AFRI_EAST,End_Use_Industry_Coal,VOC,0.015553947831280703,0.014493046415364775,0.013292505363084435,0.011983870421576063,0.01108145820114927,0.0108900621392797,0.0107911663460264,0.0106922705527731,0.0105933747595198,0.0104944789662665,0.0103955831730132,0.0102966873797599,0.0101977915865066,0.0100988957932533,0.01
SSP1,AFRI_EAST,End_Use_Industry_HLF,CO,0.03779377986613944,0.03698936650957071,0.03646016408239153,0.03525329312694877,0.03465108515238706,0.0332680909277831,0.03212483565050876,0.031033129372681583,0.0307930223307935,0.0317941852756613,0.032795348220529,0.0337965111653967,0.0347976741102645,0.0357988370551322,0.0368
SSP1,AFRI_EAST,End_Use_Industry_HLF,NH3,0.0003808167394384,0.0003750270728511,0.0003692374062638,0.0003692374062638,0.0003692374062638,0.0003423136656375,0.0003153899250111,0.0002884661843847,0.000262722264974325,0.00025171251715905003,0.00024093875466597655,0.00023116816566576406,0.00022195350881756718,0.00021010426423532345,0.00019734612060303907
SSP1,AFRI_EAST,End_Use_Industry_HLF,NOX,0.14870198784091004,0.1434247785536466,0.14177196331646089,0.13799086628189264,0.13551203605514078,0.12943183006646586,0.12565427339564558,0.11945725018024181,0.11391179551547882,0.1089258304047071,0.10444643674239543,0.10162876673765614,0.09907269049665429,0.09447966278918908,0.09025001001819194
SSP1,AFRI_EAST,End_Use_Industry_HLF,PM_BC,0.00033350441988618256,0.00031159043780126393,0.00029983991082496844,0.00029203929911430105,0.0002867671837341261,0.0002732996743431616,0.00026514940199364134,0.00025101360604664827,0.00023808500745488574,0.00022616776743547573,0.00021514933678892285,0.00020835287934651832,0.00020211279421640283,0.00018945057335432864,0.00017720400823721875
SSP1,AFRI_EAST,End_Use_Industry_HLF,PM_OC,0.0001245478870553066,0.00011507887164882004,0.00010998764198295036,0.00010728767082635878,0.00010532944956400566,0.00010044575774120166,9.769494135491472e-05,9.240513328655927e-05,8.76032289975444e-05,8.321648810920805e-05,7.920310648418094e-05,7.685651467501769e-05,7.471657617543758e-05,7.015207734069261e-05,6.582099466033038e-05
SSP1,AFRI_EAST,End_Use_Industry_HLF,SO2,0.21101566377656986,0.20010055602394813,0.19508110945651583,0.19001410930850898,0.18658274227749147,0.178021034282311,0.17286222207314322,0.16392339718228452,0.15583816178713528,0.14847905381710164,0.14177282039641007,0.13765480410469377,0.13389890386542871,0.12655399951917026,0.11961539083858384
SSP1,AFRI_EAST,End_Use_Industry_HLF,VOC,0.0044498706516971,0.0044289237435681,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0043671791518953,0.0043263814683514,0.0042855837848074,0.0042447861012635,0.0042039884177196,0.0041631907341757,0.0041223930506317,0.0040815953670878,0.0040407976835439,0.004
SSP1,AFRI_EAST,End_Use_Industry_LLF,CO,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0290704879908345,0.0275071004362974,0.0259437128817602,0.024380325327223,0.0228169377726858,0.021525507282688833,0.020781729081626548,0.02008662174476819,0.019331218513945696,0.018545851406385278
SSP1,AFRI_EAST,End_Use_Industry_LLF,NH3,0.0001416767568890547,0.000138653075714925,0.0001366756977000203,0.000132157062704075,0.00012989878279942498,0.00012436058310934375,0.0001198458593414375,0.00011527553458210938,0.00011129914893874844,0.0001078328160096375,0.00010482832600103906,0.00010226289728749218,0.0001,0.0001,0.0001
SSP1,AFRI_EAST,End_Use_Industry_LLF,NOX,0.06483977821490498,0.06324643533364686,0.0625059505933462,0.06057954592858398,0.05952568197310098,0.05694118878440177,0.05501660935933953,0.05270149947168932,0.05066356117143933,0.0488636474712008,0.04727926046715998,0.04608206040084576,0.044996075792374114,0.04368330559599983,0.04252534275243436
SSP1,AFRI_EAST,End_Use_Industry_LLF,PM_BC,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.471267234463101e-05,2.345570875078312e-05,2.2198745156935227e-05,2.094178156308734e-05,1.968481796923945e-05,1.842785437539156e-05,1.768487123072972e-05,1.7105216083676264e-05,1.649367921376435e-05,1.58610148419947e-05
SSP1,AFRI_EAST,End_Use_Industry_LLF,PM_OC,0.0002345081331805,0.0002345081331805,0.0002345081331805,0.0002345081331805,0.0002345081331805,0.0002110573198625,0.00018980831801110624,0.0001809531740246,0.00017229374914371563,0.000163698896412325,0.0001550932452387043,0.00014778471529305556,0.00014084877005311777,0.0001302217150791771,0.00011864760689149218
SSP1,AFRI_EAST,End_Use_Industry_LLF,SO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSP1,AFRI_EAST,End_Use_Industry_LLF,VOC,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
SSP1,AFRI_EAST,End_Use_Industry_NatGas,CO,0.032296640540322254,0.03148236216153174,0.031129726729542815,0.03018413133532325,0.029657199357581706,0.028513329426128976,0.027667564427023936,0.02669023809556649,0.02590095644544154,0.025280145982954576,0.0258692623830667,0.0274519467873,0.0290346311915333,0.0306173155957666,0.0322
SSP1,AFRI_EAST,End_Use_Industry_NatGas,NH3,0.0003155516711598,0.0003155516711598,0.0003155516711598,0.0003155516711598,0.0003155516711598,0.0002939965040438,0.0002724413369279,0.0002508861698119,0.0002293310026959,0.0002077758355799,0.0001862206684639,0.0001646655013479,0.0001431103342319,0.0001215551671159,0.0001
SSP1,AFRI_EAST,End_Use_Industry_NatGas,NOX,0.0882204580856154,0.08531456875423163,0.08488641862624573,0.08276409717760058,0.08125857724119637,0.0776630052436637,0.07560766536642455,0.07179942848386402,0.06841933805493551,0.06541146981194065,0.06274368389228835,0.061178239777038845,0.05977167488727865,0.057071443543168864,0.0546567396463348
SSP1,AFRI_EAST,End_Use_Industry_NatGas,PM_BC,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06
SSP1,AFRI_EAST,End_Use_Industry_NatGas,PM_OC,7.500000000000001e-05,7.500000000000001e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05
SSP1,AFRI_EAST,End_Use_Industry_NatGas,SO2,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666
SSP1,AFRI_EAST,End_Use_Industry_NatGas,VOC,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
SSP1,AFRI_EAST,End_Use_Residential_Bio_Mod,CO,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.031,0.031,0.031
SSP1,AFRI_EAST,End_Use_Residential_Bio_Mod,NH3,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082
SSP1,AFRI_EAST,End_Use_Residential_Bio_Mod,NOX,0.0599999999999999,0.0599999999999999,0.0599999999999999,0.0599999999999999,0.0599999999999999,0.0599999999999999,0.0599999999999999,0.0599999999999999,0.0599999999999999,0.06,0.06,0.06,0.06,0.06,0.06
