# File: SSPs_IMAGE_emf_agg_cle_rev_2025-07-02.csv
# Title: GAINS model emission factors - CLE
# Units: emission factors
# Source: GAINS model
# Description: GAINS emission factor data by sector and gas for historical and modeled years
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnn
# ----------
scen,Group_Region,EMF30_AGG,POLLUTANT_FRACTION,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,AFRI_EAST,CEMENT,CO,,,,,,,,0.2842727796011395,0.2804765544273234,0.2754705800889672,0.269747719927192,0.2588644059351198,0.2541032195446456,0.2424268985809321,0.2321992186782966,0.2232726700389051,0.2153070941414353,0.2081707955107551,0.2018018214700281,0.1960980427456885,0.1909241239671578,0.1862308543880866,0.1819648750654048
SSP1,AFRI_EAST,CEMENT,NOX,,,,,,,,2.576437039277699,2.542030877840148,2.496660449756562,2.444792701771362,2.346154438485629,2.303002586294456,2.197177097636639,2.104481014093224,2.023577416570762,1.9513833612334408,1.8867052582464832,1.8289816146259052,1.777286806597322,1.7303942550208942,1.68785795029344,1.6491942866420288
SSP1,AFRI_EAST,CEMENT,PM_BC,,,,,,,,0.0010929804718679,0.0008159562129765,0.0008013929427177,0.0007847441240151,0.000753082626719,0.0007294537772949,0.0006959345781004,0.0006665739908898,0.0006409485594809,0.0006180817912552,0.0005975956281858,0.000579312222805,0.0005629383927418,0.0005480856309264,0.0005346126681342,0.0005223663269175
SSP1,AFRI_EAST,CEMENT,PM_OC,,,,,,,,0.0038439772225849,0.001879243012355,0.0018457020901392,0.0018073579048591,0.0017344377571746,0.0016508830765184,0.0015750231928478,0.0015085749845426,0.0014505800952732,0.0013988285493171,0.0013524647344096,0.0013110861502364,0.0012740292731724,0.0012404148429182,0.001209923142201,0.0011822075033311
SSP1,AFRI_EAST,CEMENT,SO2,,,,,,,,0.516623527259707,0.5097244522152348,0.5006268378615782,0.4902263900700638,0.4704475844076002,0.4617948357679348,0.440574857794124,0.4219875696464635,0.4057648941908383,0.3912886438703548,0.3783194817320258,0.366744817993336,0.3563790478784073,0.3469762194652536,0.3384468995362668,0.3306941161428193
SSP1,AFRI_EAST,CHEM,VOC,,,,,,,,0.8975656262863004,0.7959465797531592,0.7817404434824031,0.7654999025164348,0.734614837752085,0.7211033696338215,0.6879678808078701,0.6589433983375457,0.6336113135469617,0.6110063121973812,0.5907546640737629,0.5726805576137632,0.5564941666458034,0.541811431526996,0.5284927002093331,0.5163865487410966
SSP1,AFRI_EAST,CUSM,CO,,,,,,,,0.0,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CUSM,NOX,,,,,,,,0.0,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CUSM,PM_BC,,,,,,,,0.0,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CUSM,PM_OC,,,,,,,,0.0,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,CUSM,SO2,,,,,,,,297.5636234829612,293.5899102070616,288.3498873484747,282.35946150181627,270.9673107952741,265.9835206609704,253.76128686219573,243.0554236560097,233.71152459518112,225.3735274415129,217.90357945077963,211.236831420642,205.26637914188044,199.85055979573588,194.9378618445276,190.47243160973105
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,CO,,,,,,,,0.2975636234829612,0.3,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2711499999999999,0.2430554236560096,0.233711524595181,0.2253735274415128,0.2179035794507796,0.2112368314206419,0.2052663791418804,0.1998505597957358,0.1949378618445275,0.1904724316097309
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,NH3,,,,,,,,0.004959393724716,0.0048931651701176,0.0048058314558079,0.0047059910250302,0.0045161218465879,0.0044330586776828,0.0042293547810365,0.0040509237276001,0.0038951920765863,0.0037562254573585,0.0036317263241796,0.0035206138570107,0.0034211063190313,0.0033308426632622,0.0032489643640754,0.0031745405268288
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,NOX,,,,,,,,0.1289442368426165,0.12722229442306,0.1249516178510056,0.122355766650787,0.1174191680112854,0.1152595256197538,0.1099632243069514,0.1053240169176042,0.1012749939912451,0.0976618618913222,0.0944248844286711,0.0915359602822781,0.0889487642948148,0.0866019092448188,0.0844730734659619,0.0825380536975501
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,PM_BC,,,,,,,,0.0060522060507446,0.0051155105954478,0.0050242084371598,0.0049198312572076,0.0047213344232968,0.0046344968639967,0.0044215366622868,0.0042349977017823,0.0040721896045464,0.0039269083421409,0.0037967519683503,0.0036805905506732,0.0035765613901681,0.0034821961538809,0.003396597304779,0.0033187916483679
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,PM_OC,,,,,,,,0.0087983612191441,0.0073280041587682,0.0071972131882179,0.0070476921590853,0.00676334407745,0.0066389486756978,0.0063338817200804,0.006066663374454,0.0058334396538957,0.0056253232449401,0.0054388733430914,0.0052724713122592,0.0051234488233813,0.0049882699725015,0.0048656490316394,0.0047541918929788
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,SO2,,,,,,,,0.0247969686235801,0.025,0.025,0.025,0.025,0.0249999999999999,0.0237499999999999,0.0225,0.0212499999999999,0.0199999999999999,0.01875,0.0176030692850535,0.0171055315951567,0.0166542133163113,0.0162448218203772,0.0158727026341442
SSP1,AFRI_EAST,End_Use_Industry_Bio_Trad,VOC,,,,,,,,0.0504132229483417,0.0508259777006502,0.050825957663106,0.0508259376255619,0.0508259089655227,0.0508258803054836,0.0472432922749352,0.0436607042443869,0.0400781162138385,0.0381826930992232,0.0369171374910059,0.0357876596996505,0.0347761480566841,0.0338586021038732,0.0330262947770562,0.032269763368302
SSP1,AFRI_EAST,End_Use_Industry_Coal,CO,,,,,,,,1.1854095404749907,1.1695793876719438,1.009490360141256,0.7782984354073443,0.5768837103621688,0.4358217747976559,0.4157952873937108,0.3982534175377654,0.3829431657518622,0.3692811136490128,0.3570413854775928,0.3461177239236622,0.3363349633150032,0.3274609849814779,0.3194113857626246,0.3120946477732634
SSP1,AFRI_EAST,End_Use_Industry_Coal,NH3,,,,,,,,9.91878744943204e-06,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0007547850277316,0.0006803065249584,0.0006058280221853,0.0005313495194121,0.0004568710166389,0.0003823925138658,0.0003079140110926,0.0002334355083194,0.0001589570055463,8.447850277316525e-05,1e-05
SSP1,AFRI_EAST,End_Use_Industry_Coal,NOX,,,,,,,,0.1748224366715051,0.1724878292709252,0.1694092487857504,0.1658897969422936,0.1591967626186249,0.1562184756182836,0.1490400657380395,0.142752256530566,0.1372643614008737,0.1323672564906943,0.1279799775902559,0.1240644372138775,0.1205578479657087,0.1173770078881871,0.114491663024702,0.111869009175598
SSP1,AFRI_EAST,End_Use_Industry_Coal,PM_BC,,,,,,,,0.0336376935730607,0.0331884903137464,0.0280258049765532,0.0209726024901031,0.0149200364602985,0.0106688579094142,0.0101786122152046,0.0097491896214266,0.00937439673519,0.0090399515535467,0.0087403246687465,0.0084729149161623,0.0082334342639071,0.0080162004784324,0.007819147381823,0.007640034628668
SSP1,AFRI_EAST,End_Use_Industry_Coal,PM_OC,,,,,,,,0.0111623134474207,0.2101078848335799,0.1518800301456887,0.0936521754577975,0.0714530773338204,0.0492539792098433,0.0443286090323969,0.0394032388549504,0.034477868677504,0.0295524985000576,0.0246271283226112,0.0197017581451647,0.0147763879677183,0.0098510177902719,0.0049256476128254,0.002538356862669
SSP1,AFRI_EAST,End_Use_Industry_Coal,SO2,,,,,,,,0.6553858965412737,0.6442568655610335,0.6305827322089635,0.6155146941215529,0.5889182373100442,0.5766186961252447,0.5501224361341216,0.526913476167332,0.5066570825389147,0.4885813572642937,0.4723874529959529,0.4579347848495177,0.4449915979945485,0.4332507853229085,0.4226006763235108,0.4129201872720533
SSP1,AFRI_EAST,End_Use_Industry_Coal,VOC,,,,,,,,0.021424957217782,0.0211388448363849,0.0192248169524277,0.0166069818860819,0.0141487010867442,0.0127591139133377,0.0124832025220039,0.0122072911306701,0.0119313797393364,0.0116554683480026,0.0113795569566688,0.011103645565335,0.0108277341740013,0.0105518227826675,0.0102759113913337,0.01
SSP1,AFRI_EAST,End_Use_Industry_HLF,CO,,,,,,,,0.0396751497977281,0.0391453213609415,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0388396722691497,0.0386357050422347,0.0384317378153198,0.0382277705884048,0.0380238033614898,0.0378198361345748,0.0376158689076599,0.0374119016807449,0.0372079344538299,0.0370039672269149,0.0368
SSP1,AFRI_EAST,End_Use_Industry_HLF,NH3,,,,,,,,0.0003871149037479,0.0006895283386303,0.000663799783816,0.0006380712290017,0.0006380712290017,0.0006380712290017,0.0005842641061015,0.0005304569832014,0.0004766498603012,0.000422842737401,0.0003690356145008,0.0003152284916007,0.0002614213687005,0.00023309813151,0.0002273681464938,0.0002221598376195
SSP1,AFRI_EAST,End_Use_Industry_HLF,NOX,,,,,,,,0.1664993303192956,0.1627488427007832,0.1590111104312369,0.1549677625329806,0.148715391544449,0.1459801306045849,0.1392721838799489,0.1333964690793095,0.1282682430829537,0.1236920877239734,0.1195923450760571,0.1159334238551901,0.1126566516654837,0.1096842794917627,0.106988036180312,0.1045372674738095
SSP1,AFRI_EAST,End_Use_Industry_HLF,PM_BC,,,,,,,,0.0003965602669521,0.0003673928900376,0.0003478811505367,0.0003295941430215,0.000316296249162,0.0003104787425356,0.0002962119046075,0.0002837151042878,0.000272808105149,0.0002630752808556,0.0002543557178796,0.0002465737186789,0.0002396044955057,0.0002332826873868,0.0002275481656445,0.000222335733082
SSP1,AFRI_EAST,End_Use_Industry_HLF,PM_OC,,,,,,,,0.0001518968336686,0.0001387694632969,0.0001302696214024,0.0001224211179525,0.0001174818826318,0.0001153210867561,0.0001100219566417,0.0001053802714105,0.000101329085865,9.771402395917628e-05,9.447531759811204e-05,9.15848504516735e-05,8.899627261985417e-05,8.664816409373158e-05,8.451819128477718e-05,8.258213800512048e-05
SSP1,AFRI_EAST,End_Use_Industry_HLF,SO2,,,,,,,,0.3637311711280362,0.2928126194440262,0.2366907728322098,0.18683887421338,0.179300622788907,0.1760028202890142,0.1679152981242183,0.1608311670726602,0.1546482555031202,0.1491309549915674,0.14418804758695,0.1397766222003523,0.1358259397037385,0.1322422609978978,0.1289915006030731,0.1260366998200209
SSP1,AFRI_EAST,End_Use_Industry_HLF,VOC,,,,,,,,0.0044539090450921,0.0044498706516971,0.0044289237435681,0.0044079768354392,0.0044079768354392,0.0044079768354392,0.0043671791518953,0.0043263814683514,0.0042855837848074,0.0042447861012635,0.0042039884177196,0.0041631907341757,0.0041223930506317,0.0040815953670878,0.0040407976835439,0.004
SSP1,AFRI_EAST,End_Use_Industry_LLF,CO,,,,,,,,0.0303850900286896,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0306338755453717,0.0290704879908345,0.0275071004362974,0.0259437128817602,0.024380325327223,0.0228169377726858,0.0215700093477954,0.0209603490409381,0.0204073239215181,0.0199056739960871,0.0194496958825227
SSP1,AFRI_EAST,End_Use_Industry_LLF,NH3,,,,,,,,0.0001487818117414,0.0001467949551035,0.0001441749436742,0.0001411797307509,0.0001354836553976,0.0001329917603304,0.000126880643431,0.000121527711828,0.0001168557622975,0.0001126867637207,0.0001089517897253,0.0001056184157103,0.0001026331895709,0.0001,0.0001,0.0001
SSP1,AFRI_EAST,End_Use_Industry_LLF,NOX,,,,,,,,0.0694315121460242,0.0685043123816477,0.0672816403813107,0.0658838743504238,0.0632257058522306,0.0620628214875597,0.0592109669345123,0.0567129321864022,0.0545326890722089,0.0525871564030196,0.0508441685385152,0.0492885939981498,0.0478954884664387,0.0466317972856717,0.0454855010970564,0.0444435673756039
