# File: A53.USA_elec_gen_CCS_EFs_water.csv
# Title: Emission factors (EFs) for carbon capture and storage (CCS) electric generation technologies
# Units: kt/PJ
# Source: Derived from Cost and Performance Baseline for Fossil Energy Plants Volume 1 Bituminous Coal and Natural Gas and Electricity (NETL Report October 2022)
# Description: Global emission factors for electric generation technologies with CCS
# Column types: ccccccnnnnnnnnc
# ---------
region,supplysector,nesting.subsector,subsector,stub.technology,Non.CO2,pcGDP_start_NSPS,NSPS_start_year,NSPS_em_coeff,pcGDP_start_retrofit,retrofit_start_year,retrofit_time,retrofit_vintage,retrofit_em_coeff,Notes and sources
All states,base load generation,gas,gas_base_CC_CCS,gas (CC CCS) (dry cooling),NMVOC,NA,2020,0.00056,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (once through),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (seawater),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (recirculating),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (dry cooling),SO2_1,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (once through),NOx,NA,2020,0.001289763,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (seawater),NOx,NA,2020,0.001289763,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (recirculating),NOx,NA,2020,0.001289763,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (dry cooling),NOx,NA,2020,0.001289763,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (once through),PM10,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (seawater),PM10,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (recirculating),PM10,NA,2020,0,NA,NA,NA,NA,NA,NA
All states,intermediate generation,gas,gas_int_CC_CCS,gas (CC CCS) (dry cooling),PM10,NA,2020,0,NA,NA,NA,NA,NA,NA
