# File:Corine_LT_km2.csv
# Title: Corine_LT
# Year 2010: TBD how to extrapolate to 2015
# Units: km2
# Original source: https://land.copernicus.eu/pan-european/corine-land-cover
# Description: Land cover from Corine in 2010 per country and GLU
# Column types: ccciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
country,iso,glu_code,Agro-forestry areas,Airports,Annual crops associated with permanent crops,Bare rocks,"Beaches, dunes, sands",Broad-leaved forest,Burnt areas,Coastal lagoons,Complex cultivation patterns,Coniferous forest,Construction sites,Continuous urban fabric,Discontinuous urban fabric,Dump sites,Estuaries,Fruit trees and berry plantations,Glaciers and perpetual snow,Green urban areas,Industrial or commercial units,Inland marshes,Peat bogs,Intertidal flats,"Land principally occupied by agriculture, with significant areas of natural vegetation",Mineral extraction sites,Mixed forest,Moors and heathland,Natural grasslands,Non-irrigated arable land,Olive groves,Pastures,Permanently irrigated land,Port areas,Rice fields,Road and rail networks and associated land,Salines,Salt marshes,Sclerophyllous vegetation,Sea and ocean,Sparsely vegetated areas,Sport and leisure facilities,Transitional woodland-shrub,Vineyards,Water bodies
Spain,esp,GLU061,0,0,0,11,1,84,0,0,21,475,3,8,59,0,0,28,0,1,12,0,0,0,25,4,6,48,15,459,17,4,314,0,3,2,0,11,430,0,2,6,20,36,6
Spain,esp,GLU063,0,11,91,1,2,236,1,6,718,591,11,51,132,1,0,483,0,0,23,1,0,0,369,3,287,0,62,757,81,19,101,3,0,2,8,22,583,62,104,23,155,7,1
Spain,esp,GLU064,0,0,0,108,0,104,0,0,0,159,0,2,1,0,0,0,2,0,0,0,0,0,0,0,4,111,229,1,0,12,0,0,0,0,0,0,1,0,44,0,7,0,2
Spain,esp,GLU067,1951,42,9,140,58,4967,104,69,4791,14061,339,886,1672,46,10,6745,0,48,777,27,0,1,3316,234,2715,188,10244,11782,2522,1739,5165,13,267,67,135,199,14705,9,1912,175,4976,2745,346
Spain,esp,GLU071,4576,44,3,312,6,5723,98,0,1172,3094,186,247,900,26,0,161,0,85,312,5,0,0,1813,107,1718,219,9214,8728,2285,628,1483,0,9,86,0,0,7213,0,640,59,2671,1020,380
Spain,esp,GLU073,1,24,188,815,49,9491,106,18,3150,11984,93,223,531,23,0,2337,3,13,386,31,1,0,4071,107,3708,2946,4255,15796,1475,892,3957,0,506,51,2,12,13453,0,803,57,3320,2307,363
Spain,esp,GLU074,3336,14,2,383,0,10584,124,0,834,6877,52,97,687,9,0,35,0,11,263,11,0,0,2350,107,1779,4863,10190,16277,17,2836,6002,0,5,35,0,0,6055,0,1272,31,3545,635,319
Spain,esp,GLU081,7662,3,6,203,5,4231,64,0,1558,1033,65,220,187,22,2,293,0,2,94,74,0,0,1397,45,755,18,5840,13064,3418,285,2343,0,355,25,10,31,4118,0,111,8,3054,4838,311
Spain,esp,GLU083,6176,25,7,70,6,4668,96,0,1096,3306,159,426,340,11,2,1310,0,15,249,421,1,0,666,118,1088,63,4062,6160,9615,443,4102,3,549,25,49,21,7914,0,508,23,3071,307,467
Estonia,est,GLU020,0,18,0,0,19,2852,0,11,707,4844,3,1,418,12,0,9,0,18,117,514,1055,0,1467,41,5395,84,244,4179,0,2407,0,7,0,16,0,4,0,0,4,13,3062,0,112
