# File: Diet_3C_Ref.csv
# Title: 3C Ref diet by region and sector
# Units: Pcal
# Description: Need 2020 and 2025 values
# Column types: cccnn
# ----------
scenario,region,technology,year,value
3C,Central Asia,Dairy,2025,13.097
3C,Central Asia,FiberCrop,2015,1.74954
3C,Central Asia,FiberCrop,2020,1.95442
3C,Central Asia,FiberCrop,2025,2.23641
3C,Central Asia,Fruits,2015,2.17514
3C,Central Asia,Fruits,2020,2.42883
3C,Central Asia,Fruits,2025,2.77952
3C,Central Asia,Legumes,2015,0.424024
3C,Central Asia,Legumes,2020,0.475126
3C,Central Asia,Legumes,2025,0.544897
3C,Central Asia,MiscCrop,2015,0.669975
3C,Central Asia,MiscCrop,2020,0.75037
3C,Central Asia,MiscCrop,2025,0.86092
3C,Central Asia,NutsSeeds,2015,0.53915
3C,Central Asia,NutsSeeds,2020,0.602161
3C,Central Asia,NutsSeeds,2025,0.691077
3C,Central Asia,OilCrop,2015,3.89351
3C,Central Asia,OilCrop,2020,4.36389
3C,Central Asia,OilCrop,2025,5.02895
3C,Central Asia,OilPalm,2015,0.0233417
3C,Central Asia,OilPalm,2020,0.0261168
3C,Central Asia,OilPalm,2025,0.0300129
3C,Central Asia,OtherGrain,2015,1.34647
3C,Central Asia,OtherGrain,2020,1.44083
3C,Central Asia,OtherGrain,2025,1.50421
3C,Central Asia,OtherMeat_Fish,2015,1.3408
3C,Central Asia,OtherMeat_Fish,2020,1.50091
3C,Central Asia,OtherMeat_Fish,2025,1.7254
3C,Central Asia,Pork,2015,0.483242
3C,Central Asia,Pork,2020,0.542432
3C,Central Asia,Pork,2025,0.624344
3C,Central Asia,Poultry,2015,1.26535
3C,Central Asia,Poultry,2020,1.41844
3C,Central Asia,Poultry,2025,1.63222
3C,Central Asia,Rice,2015,1.35045
3C,Central Asia,Rice,2020,1.44206
3C,Central Asia,Rice,2025,1.50668
3C,Central Asia,RootTuber,2015,3.14814
3C,Central Asia,RootTuber,2020,3.34786
3C,Central Asia,RootTuber,2025,3.49032
3C,Central Asia,SheepGoat,2015,1.22604
3C,Central Asia,SheepGoat,2020,1.37208
3C,Central Asia,SheepGoat,2025,1.57627
3C,Central Asia,Soybean,2015,0.181209
3C,Central Asia,Soybean,2020,0.202748
3C,Central Asia,Soybean,2025,0.232671
3C,Central Asia,SugarCrop,2015,5.11385
3C,Central Asia,SugarCrop,2020,5.7317
3C,Central Asia,SugarCrop,2025,6.60163
3C,Central Asia,Vegetables,2015,2.99041
3C,Central Asia,Vegetables,2020,3.34052
3C,Central Asia,Vegetables,2025,3.82457
3C,Central Asia,Wheat,2015,26.8549
3C,Central Asia,Wheat,2020,28.6373
3C,Central Asia,Wheat,2025,29.84
3C,China,Beef,2015,11.0067
3C,China,Beef,2020,13.6462
3C,China,Beef,2025,15.2763
3C,China,Corn,2015,21.0974
3C,China,Corn,2020,20.9488
3C,China,Corn,2025,20.493
3C,China,Dairy,2015,21.6741
3C,China,Dairy,2020,26.9727
3C,China,Dairy,2025,30.2399
3C,China,FiberCrop,2015,4.57812
3C,China,FiberCrop,2020,5.65569
3C,China,FiberCrop,2025,6.30832
3C,China,Fruits,2015,35.7946
3C,China,Fruits,2020,44.5198
3C,China,Fruits,2025,49.7928
3C,China,Legumes,2015,4.45593
3C,China,Legumes,2020,5.55492
3C,China,Legumes,2025,6.24021
3C,China,MiscCrop,2015,0.96326
3C,China,MiscCrop,2020,1.19997
3C,China,MiscCrop,2025,1.34446
3C,China,NutsSeeds,2015,35.7396
3C,China,NutsSeeds,2020,43.7582
3C,China,NutsSeeds,2025,48.7209
3C,China,OilCrop,2015,19.8352
3C,China,OilCrop,2020,24.6183
3C,China,OilCrop,2025,27.6597
3C,China,OilPalm,2015,16.9777
3C,China,OilPalm,2020,21.1961
3C,China,OilPalm,2025,23.8251
3C,China,OtherGrain,2015,27.8473
3C,China,OtherGrain,2020,27.9533
3C,China,OtherGrain,2025,27.4368
3C,China,OtherMeat_Fish,2015,33.9975
3C,China,OtherMeat_Fish,2020,42.5793
3C,China,OtherMeat_Fish,2025,47.8812
3C,China,Pork,2015,102.85
3C,China,Pork,2020,128.783
3C,China,Pork,2025,144.757
3C,China,Poultry,2015,46.8141
3C,China,Poultry,2020,58.8221
3C,China,Poultry,2025,66.266
3C,China,Rice,2015,307.419
3C,China,Rice,2020,306.149
3C,China,Rice,2025,299.427
3C,China,RootTuber,2015,51.9387
3C,China,RootTuber,2020,51.942
3C,China,RootTuber,2025,50.9843
3C,China,SheepGoat,2015,5.78925
3C,China,SheepGoat,2020,7.21814
3C,China,SheepGoat,2025,8.10184
3C,China,Soybean,2015,36.6764
3C,China,Soybean,2020,45.7682
3C,China,Soybean,2025,51.6188
3C,China,SugarCrop,2015,28.4804
3C,China,SugarCrop,2020,35.384
3C,China,SugarCrop,2025,39.6688
3C,China,Vegetables,2015,75.1949
3C,China,Vegetables,2020,93.4817
3C,China,Vegetables,2025,104.524
3C,China,Wheat,2015,220.008
3C,China,Wheat,2020,221.086
3C,China,Wheat,2025,218.527
3C,Colombia,Beef,2015,1.24917
3C,Colombia,Beef,2020,1.30883
3C,Colombia,Beef,2025,1.48415
3C,Colombia,Corn,2015,3.3634
3C,Colombia,Corn,2020,3.65329
3C,Colombia,Corn,2025,3.64851
3C,Colombia,Dairy,2015,2.72127
3C,Colombia,Dairy,2020,2.85454
3C,Colombia,Dairy,2025,3.25899
3C,Colombia,FiberCrop,2015,0.0225812
3C,Colombia,FiberCrop,2020,0.0239077
3C,Colombia,FiberCrop,2025,0.0274309
3C,Colombia,Fruits,2015,3.00811
3C,Colombia,Fruits,2020,3.1628
3C,Colombia,Fruits,2025,3.6087
3C,Colombia,Legumes,2015,0.710332
3C,Colombia,Legumes,2020,0.749173
3C,Colombia,Legumes,2025,0.858227
3C,Colombia,MiscCrop,2015,0.189098
3C,Colombia,MiscCrop,2020,0.199083
3C,Colombia,MiscCrop,2025,0.227501
3C,Colombia,NutsSeeds,2015,0.086256
3C,Colombia,NutsSeeds,2020,0.0933181
3C,Colombia,NutsSeeds,2025,0.107888
3C,Colombia,OilCrop,2015,0.296775
3C,Colombia,OilCrop,2020,0.311456
3C,Colombia,OilCrop,2025,0.354314
3C,Colombia,OilPalm,2015,2.57787
3C,Colombia,OilPalm,2020,2.71175
3C,Colombia,OilPalm,2025,3.09895
3C,Colombia,OtherGrain,2015,0.830221
3C,Colombia,OtherGrain,2020,0.900463
3C,Colombia,OtherGrain,2025,0.901405
3C,Colombia,OtherMeat_Fish,2015,0.428725
3C,Colombia,OtherMeat_Fish,2020,0.449853
3C,Colombia,OtherMeat_Fish,2025,0.514855
3C,Colombia,Pork,2015,0.613584
3C,Colombia,Pork,2020,0.645287
3C,Colombia,Pork,2025,0.739538
3C,Colombia,Poultry,2015,1.94145
3C,Colombia,Poultry,2020,2.0382
3C,Colombia,Poultry,2025,2.3376
3C,Colombia,Rice,2015,3.66295
3C,Colombia,Rice,2020,3.99307
3C,Colombia,Rice,2025,3.99681
3C,Colombia,RootTuber,2015,2.38839
3C,Colombia,RootTuber,2020,2.59417
3C,Colombia,RootTuber,2025,2.586
3C,Colombia,SheepGoat,2015,0.009325
3C,Colombia,SheepGoat,2020,0.00978241
3C,Colombia,SheepGoat,2025,0.0111654
3C,Colombia,Soybean,2015,1.2229
3C,Colombia,Soybean,2020,1.28925
3C,Colombia,Soybean,2025,1.48214
3C,Colombia,SugarCrop,2015,7.53662
3C,Colombia,SugarCrop,2020,7.94262
3C,Colombia,SugarCrop,2025,9.0759
3C,Colombia,Vegetables,2015,0.401947
3C,Colombia,Vegetables,2020,0.423169
3C,Colombia,Vegetables,2025,0.483345
3C,Colombia,Wheat,2015,2.84725
3C,Colombia,Wheat,2020,3.1094
3C,Colombia,Wheat,2025,3.11686
3C,EU-12,Beef,2015,0.502866
3C,EU-12,Beef,2020,0.530112
3C,EU-12,Beef,2025,0.564213
3C,EU-12,Corn,2015,1.87726
3C,EU-12,Corn,2020,1.83939
3C,EU-12,Corn,2025,1.81198
3C,EU-12,Dairy,2015,9.72446
3C,EU-12,Dairy,2020,10.2837
3C,EU-12,Dairy,2025,10.9852
3C,EU-12,FiberCrop,2015,5.61E-04
3C,EU-12,FiberCrop,2020,6.14E-04
3C,EU-12,FiberCrop,2025,6.51E-04
3C,EU-12,Fruits,2015,1.7839
3C,EU-12,Fruits,2020,1.88223
3C,EU-12,Fruits,2025,2.00435
3C,EU-12,Legumes,2015,0.500861
3C,EU-12,Legumes,2020,0.536326
3C,EU-12,Legumes,2025,0.57761
3C,EU-12,MiscCrop,2015,0.805802
3C,EU-12,MiscCrop,2020,0.852303
3C,EU-12,MiscCrop,2025,0.911286
3C,EU-12,NutsSeeds,2015,0.611831
3C,EU-12,NutsSeeds,2020,0.64599
3C,EU-12,NutsSeeds,2025,0.691149
3C,EU-12,OilCrop,2015,5.23078
3C,EU-12,OilCrop,2020,5.51135
3C,EU-12,OilCrop,2025,5.90303
3C,EU-12,OilPalm,2015,0.115766
3C,EU-12,OilPalm,2020,0.122462
3C,EU-12,OilPalm,2025,0.131516
3C,EU-12,OtherGrain,2015,6.28811
3C,EU-12,OtherGrain,2020,6.17361
3C,EU-12,OtherGrain,2025,6.10228
3C,EU-12,OtherMeat_Fish,2015,1.28295
3C,EU-12,OtherMeat_Fish,2020,1.35635
3C,EU-12,OtherMeat_Fish,2025,1.44879
3C,EU-12,Pork,2015,8.13976
3C,EU-12,Pork,2020,8.63101
3C,EU-12,Pork,2025,9.2401
3C,EU-12,Poultry,2015,3.45219
3C,EU-12,Poultry,2020,3.66588
3C,EU-12,Poultry,2025,3.92785
3C,EU-12,Rice,2015,0.617518
3C,EU-12,Rice,2020,0.602046
3C,EU-12,Rice,2025,0.591129
3C,EU-12,RootTuber,2015,3.6878
3C,EU-12,RootTuber,2020,3.61552
3C,EU-12,RootTuber,2025,3.56212
3C,EU-12,SheepGoat,2015,0.148046
3C,EU-12,SheepGoat,2020,0.156414
3C,EU-12,SheepGoat,2025,0.166878
3C,EU-12,Soybean,2015,0.724837
3C,EU-12,Soybean,2020,0.767371
3C,EU-12,Soybean,2025,0.825644
3C,EU-12,SugarCrop,2015,8.33056
3C,EU-12,SugarCrop,2020,8.79872
3C,EU-12,SugarCrop,2025,9.42906
3C,EU-12,Vegetables,2015,1.79102
3C,EU-12,Vegetables,2020,1.89202
3C,EU-12,Vegetables,2025,2.01721
3C,EU-12,Wheat,2015,20.5007
3C,EU-12,Wheat,2020,20.0981
3C,EU-12,Wheat,2025,19.8376
3C,EU-15,Beef,2015,7.59262
3C,EU-15,Beef,2020,7.82753
3C,EU-15,Beef,2025,8.26307
3C,EU-15,Corn,2015,6.35997
3C,EU-15,Corn,2020,6.45868
3C,EU-15,Corn,2025,6.45467
3C,EU-15,Dairy,2015,45.7493
3C,EU-15,Dairy,2020,47.1151
3C,EU-15,Dairy,2025,49.6899
3C,EU-15,FiberCrop,2015,0.120047
3C,EU-15,FiberCrop,2020,0.123419
3C,EU-15,FiberCrop,2025,0.129525
3C,EU-15,Fruits,2015,11.1921
3C,EU-15,Fruits,2020,11.5247
3C,EU-15,Fruits,2025,12.1181
3C,EU-15,Legumes,2015,2.64309
3C,EU-15,Legumes,2020,2.73438
3C,EU-15,Legumes,2025,2.89075
3C,EU-15,MiscCrop,2015,4.79245
3C,EU-15,MiscCrop,2020,4.95218
3C,EU-15,MiscCrop,2025,5.21577
3C,EU-15,NutsSeeds,2015,6.08501
3C,EU-15,NutsSeeds,2020,6.26763
3C,EU-15,NutsSeeds,2025,6.62714
3C,EU-15,OilCrop,2015,29.6757
3C,EU-15,OilCrop,2020,30.4641
3C,EU-15,OilCrop,2025,32.1282
3C,EU-15,OilPalm,2015,1.74726
3C,EU-15,OilPalm,2020,1.80453
3C,EU-15,OilPalm,2025,1.90836
3C,EU-15,OtherGrain,2015,12.8503
3C,EU-15,OtherGrain,2020,13.0463
3C,EU-15,OtherGrain,2025,13.0077
3C,EU-15,OtherMeat_Fish,2015,8.87069
3C,EU-15,OtherMeat_Fish,2020,9.12701
3C,EU-15,OtherMeat_Fish,2025,9.6185
3C,EU-15,Pork,2015,24.5432
3C,EU-15,Pork,2020,25.3023
3C,EU-15,Pork,2025,26.697
3C,EU-15,Poultry,2015,13.4711
3C,EU-15,Poultry,2020,13.9036
3C,EU-15,Poultry,2025,14.6802
3C,EU-15,Rice,2015,5.66959
3C,EU-15,Rice,2020,5.73094
3C,EU-15,Rice,2025,5.70603
3C,EU-15,RootTuber,2015,11.7461
3C,EU-15,RootTuber,2020,11.9009
3C,EU-15,RootTuber,2025,11.8556
3C,EU-15,SheepGoat,2015,1.36902
3C,EU-15,SheepGoat,2020,1.41025
3C,EU-15,SheepGoat,2025,1.48714
3C,EU-15,Soybean,2015,8.04799
3C,EU-15,Soybean,2020,8.30542
3C,EU-15,Soybean,2025,8.79979
3C,EU-15,SugarCrop,2015,35.5892
3C,EU-15,SugarCrop,2020,36.6127
3C,EU-15,SugarCrop,2025,38.5822
3C,EU-15,Vegetables,2015,6.90997
3C,EU-15,Vegetables,2020,7.12341
3C,EU-15,Vegetables,2025,7.4984
3C,EU-15,Wheat,2015,75.7217
3C,EU-15,Wheat,2020,76.9495
3C,EU-15,Wheat,2025,76.8015
3C,Europe_Eastern,Beef,2015,0.989286
3C,Europe_Eastern,Beef,2020,0.993844
3C,Europe_Eastern,Beef,2025,0.822962
3C,Europe_Eastern,Corn,2015,1.62493
3C,Europe_Eastern,Corn,2020,1.5767
3C,Europe_Eastern,Corn,2025,1.36826
3C,Europe_Eastern,Dairy,2015,5.71865
3C,Europe_Eastern,Dairy,2020,5.77126
3C,Europe_Eastern,Dairy,2025,4.76434
3C,Europe_Eastern,FiberCrop,2015,0
3C,Europe_Eastern,FiberCrop,2020,0
3C,Europe_Eastern,FiberCrop,2025,0
3C,Europe_Eastern,Fruits,2015,1.23452
3C,Europe_Eastern,Fruits,2020,1.24604
3C,Europe_Eastern,Fruits,2025,1.02849
3C,Europe_Eastern,Legumes,2015,0.276315
3C,Europe_Eastern,Legumes,2020,0.2796
3C,Europe_Eastern,Legumes,2025,0.231743
3C,Europe_Eastern,MiscCrop,2015,0.377169
3C,Europe_Eastern,MiscCrop,2020,0.381696
3C,Europe_Eastern,MiscCrop,2025,0.315782
3C,Europe_Eastern,NutsSeeds,2015,0.407635
3C,Europe_Eastern,NutsSeeds,2020,0.41127
3C,Europe_Eastern,NutsSeeds,2025,0.339793
3C,Europe_Eastern,OilCrop,2015,3.17584
3C,Europe_Eastern,OilCrop,2020,3.20753
3C,Europe_Eastern,OilCrop,2025,2.66061
3C,Europe_Eastern,OilPalm,2015,0.0011406
3C,Europe_Eastern,OilPalm,2020,0.00115559
3C,Europe_Eastern,OilPalm,2025,9.57E-04
3C,Europe_Eastern,OtherGrain,2015,4.03195
3C,Europe_Eastern,OtherGrain,2020,3.91771
3C,Europe_Eastern,OtherGrain,2025,3.41286
3C,Europe_Eastern,OtherMeat_Fish,2015,1.1696
3C,Europe_Eastern,OtherMeat_Fish,2020,1.18064
3C,Europe_Eastern,OtherMeat_Fish,2025,0.972121
3C,Europe_Eastern,Pork,2015,2.47027
3C,Europe_Eastern,Pork,2020,2.49796
3C,Europe_Eastern,Pork,2025,2.06693
3C,Europe_Eastern,Poultry,2015,2.73674
3C,Europe_Eastern,Poultry,2020,2.77341
3C,Europe_Eastern,Poultry,2025,2.29295
3C,Europe_Eastern,Rice,2015,0.476287
3C,Europe_Eastern,Rice,2020,0.460135
3C,Europe_Eastern,Rice,2025,0.397741
3C,Europe_Eastern,RootTuber,2015,4.3072
3C,Europe_Eastern,RootTuber,2020,4.17778
3C,Europe_Eastern,RootTuber,2025,3.61557
3C,Europe_Eastern,SheepGoat,2015,0.0290489
3C,Europe_Eastern,SheepGoat,2020,0.0292192
3C,Europe_Eastern,SheepGoat,2025,0.024288
3C,Europe_Eastern,Soybean,2015,0.322427
3C,Europe_Eastern,Soybean,2020,0.327243
3C,Europe_Eastern,Soybean,2025,0.272877
3C,Europe_Eastern,SugarCrop,2015,6.75695
3C,Europe_Eastern,SugarCrop,2020,6.82105
3C,Europe_Eastern,SugarCrop,2025,5.66079
3C,Europe_Eastern,Vegetables,2015,1.76593
3C,Europe_Eastern,Vegetables,2020,1.78222
3C,Europe_Eastern,Vegetables,2025,1.47266
3C,Europe_Eastern,Wheat,2015,14.8415
3C,Europe_Eastern,Wheat,2020,14.4253
3C,Europe_Eastern,Wheat,2025,12.5326
3C,Europe_Non_EU,Beef,2015,1.70272
3C,Europe_Non_EU,Beef,2020,1.89565
3C,Europe_Non_EU,Beef,2025,2.14415
3C,Europe_Non_EU,Corn,2015,4.49925
3C,Europe_Non_EU,Corn,2020,4.62949
3C,Europe_Non_EU,Corn,2025,4.64568
3C,Europe_Non_EU,Dairy,2015,10.1048
3C,Europe_Non_EU,Dairy,2020,11.1743
3C,Europe_Non_EU,Dairy,2025,12.5707
3C,Europe_Non_EU,FiberCrop,2015,0.902306
3C,Europe_Non_EU,FiberCrop,2020,1.00029
3C,Europe_Non_EU,FiberCrop,2025,1.12462
3C,Europe_Non_EU,Fruits,2015,3.32487
3C,Europe_Non_EU,Fruits,2020,3.69142
3C,Europe_Non_EU,Fruits,2025,4.15583
3C,Europe_Non_EU,Legumes,2015,2.53888
3C,Europe_Non_EU,Legumes,2020,2.82717
3C,Europe_Non_EU,Legumes,2025,3.19639
3C,Europe_Non_EU,MiscCrop,2015,0.968579
3C,Europe_Non_EU,MiscCrop,2020,1.0797
3C,Europe_Non_EU,MiscCrop,2025,1.21919
3C,Europe_Non_EU,NutsSeeds,2015,1.87374
3C,Europe_Non_EU,NutsSeeds,2020,2.06708
3C,Europe_Non_EU,NutsSeeds,2025,2.31842
3C,Europe_Non_EU,OilCrop,2015,5.6082
3C,Europe_Non_EU,OilCrop,2020,6.20212
3C,Europe_Non_EU,OilCrop,2025,6.99307
3C,Europe_Non_EU,OilPalm,2015,2.92033
3C,Europe_Non_EU,OilPalm,2020,3.24455
3C,Europe_Non_EU,OilPalm,2025,3.67317
3C,Europe_Non_EU,OtherGrain,2015,1.2757
3C,Europe_Non_EU,OtherGrain,2020,1.31419
3C,Europe_Non_EU,OtherGrain,2025,1.31834
3C,Europe_Non_EU,OtherMeat_Fish,2015,0.921717
3C,Europe_Non_EU,OtherMeat_Fish,2020,1.02782
3C,Europe_Non_EU,OtherMeat_Fish,2025,1.16528
3C,Europe_Non_EU,Pork,2015,0.811864
3C,Europe_Non_EU,Pork,2020,0.904894
3C,Europe_Non_EU,Pork,2025,1.02538
3C,Europe_Non_EU,Poultry,2015,2.61259
3C,Europe_Non_EU,Poultry,2020,2.92052
3C,Europe_Non_EU,Poultry,2025,3.31498
3C,Europe_Non_EU,Rice,2015,1.91817
3C,Europe_Non_EU,Rice,2020,1.97082
3C,Europe_Non_EU,Rice,2025,1.97785
3C,Europe_Non_EU,RootTuber,2015,2.17153
3C,Europe_Non_EU,RootTuber,2020,2.2397
3C,Europe_Non_EU,RootTuber,2025,2.25164
3C,Europe_Non_EU,SheepGoat,2015,0.66451
3C,Europe_Non_EU,SheepGoat,2020,0.740993
3C,Europe_Non_EU,SheepGoat,2025,0.839469
3C,Europe_Non_EU,Soybean,2015,0.0856566
3C,Europe_Non_EU,Soybean,2020,0.0954239
3C,Europe_Non_EU,Soybean,2025,0.10834
3C,Europe_Non_EU,SugarCrop,2015,7.57429
3C,Europe_Non_EU,SugarCrop,2020,8.40166
3C,Europe_Non_EU,SugarCrop,2025,9.46522
3C,Europe_Non_EU,Vegetables,2015,2.97867
3C,Europe_Non_EU,Vegetables,2020,3.30681
3C,Europe_Non_EU,Vegetables,2025,3.72289
3C,Europe_Non_EU,Wheat,2015,31.1004
3C,Europe_Non_EU,Wheat,2020,32.2493
3C,Europe_Non_EU,Wheat,2025,32.6336
3C,European Free Trade Association,Beef,2015,0.313763
3C,European Free Trade Association,Beef,2020,0.337696
3C,European Free Trade Association,Beef,2025,0.35617
3C,European Free Trade Association,Corn,2015,0.0118065
3C,European Free Trade Association,Corn,2020,0.0123054
3C,European Free Trade Association,Corn,2025,0.0125558
3C,European Free Trade Association,Dairy,2015,1.88052
3C,European Free Trade Association,Dairy,2020,2.02586
3C,European Free Trade Association,Dairy,2025,2.13875
3C,European Free Trade Association,FiberCrop,2015,1.12E-04
3C,European Free Trade Association,FiberCrop,2020,1.21E-04
3C,European Free Trade Association,FiberCrop,2025,1.27E-04
3C,European Free Trade Association,Fruits,2015,0.384664
3C,European Free Trade Association,Fruits,2020,0.41507
3C,European Free Trade Association,Fruits,2025,0.437687
3C,European Free Trade Association,Legumes,2015,0.108254
3C,European Free Trade Association,Legumes,2020,0.117646
3C,European Free Trade Association,Legumes,2025,0.124531
3C,European Free Trade Association,MiscCrop,2015,0.306516
3C,European Free Trade Association,MiscCrop,2020,0.332967
3C,European Free Trade Association,MiscCrop,2025,0.35308
3C,European Free Trade Association,NutsSeeds,2015,0.28457
3C,European Free Trade Association,NutsSeeds,2020,0.307452
3C,European Free Trade Association,NutsSeeds,2025,0.325855
3C,European Free Trade Association,OilCrop,2015,0.814408
3C,European Free Trade Association,OilCrop,2020,0.873995
3C,European Free Trade Association,OilCrop,2025,0.923278
3C,European Free Trade Association,OilPalm,2015,1.39E-05
3C,European Free Trade Association,OilPalm,2020,1.50E-05
3C,European Free Trade Association,OilPalm,2025,1.59E-05
3C,European Free Trade Association,OtherGrain,2015,0.461462
3C,European Free Trade Association,OtherGrain,2020,0.480543
3C,European Free Trade Association,OtherGrain,2025,0.489321
3C,European Free Trade Association,OtherMeat_Fish,2015,0.425531
3C,European Free Trade Association,OtherMeat_Fish,2020,0.458704
3C,European Free Trade Association,OtherMeat_Fish,2025,0.484424
3C,European Free Trade Association,Pork,2015,0.693366
3C,European Free Trade Association,Pork,2020,0.748255
3C,European Free Trade Association,Pork,2025,0.791007
3C,European Free Trade Association,Poultry,2015,0.386489
3C,European Free Trade Association,Poultry,2020,0.417527
3C,European Free Trade Association,Poultry,2025,0.441622
3C,European Free Trade Association,Rice,2015,0.113994
3C,European Free Trade Association,Rice,2020,0.118334
3C,European Free Trade Association,Rice,2025,0.12034
3C,European Free Trade Association,RootTuber,2015,0.282632
3C,European Free Trade Association,RootTuber,2020,0.294175
3C,European Free Trade Association,RootTuber,2025,0.299124
3C,European Free Trade Association,SheepGoat,2015,0.072193
3C,European Free Trade Association,SheepGoat,2020,0.0776025
3C,European Free Trade Association,SheepGoat,2025,0.0817493
3C,European Free Trade Association,Soybean,2015,0.0761298
3C,European Free Trade Association,Soybean,2020,0.0823575
3C,European Free Trade Association,Soybean,2025,0.0875375
3C,European Free Trade Association,SugarCrop,2015,1.47019
3C,European Free Trade Association,SugarCrop,2020,1.58673
3C,European Free Trade Association,SugarCrop,2025,1.67785
3C,European Free Trade Association,Vegetables,2015,0.198852
3C,European Free Trade Association,Vegetables,2020,0.214498
3C,European Free Trade Association,Vegetables,2025,0.226222
3C,European Free Trade Association,Wheat,2015,2.58109
3C,European Free Trade Association,Wheat,2020,2.69865
3C,European Free Trade Association,Wheat,2025,2.76458
3C,India,Beef,2015,1.76989
3C,India,Beef,2020,1.99858
3C,India,Beef,2025,2.48877
3C,India,Corn,2015,22.4537
3C,India,Corn,2020,23.2231
3C,India,Corn,2025,22.9838
3C,India,Dairy,2015,87.8929
3C,India,Dairy,2020,97.856
3C,India,Dairy,2025,120.91
3C,India,FiberCrop,2015,7.38015
3C,India,FiberCrop,2020,8.29153
3C,India,FiberCrop,2025,10.2625
3C,India,Fruits,2015,24.4826
3C,India,Fruits,2020,27.5341
3C,India,Fruits,2025,34.2087
3C,India,Legumes,2015,52.1996
3C,India,Legumes,2020,58.9969
3C,India,Legumes,2025,73.106
3C,India,MiscCrop,2015,5.4445
3C,India,MiscCrop,2020,6.13025
3C,India,MiscCrop,2025,7.62677
3C,India,NutsSeeds,2015,18.4016
3C,India,NutsSeeds,2020,20.5515
3C,India,NutsSeeds,2025,25.3341
3C,India,OilCrop,2015,36.9156
3C,India,OilCrop,2020,41.3979
3C,India,OilCrop,2025,51.0832
3C,India,OilPalm,2015,13.4429
3C,India,OilPalm,2020,15.1352
3C,India,OilPalm,2025,18.8952
3C,India,OtherGrain,2015,42.7245
3C,India,OtherGrain,2020,44.51
3C,India,OtherGrain,2025,44.4415
3C,India,OtherMeat_Fish,2015,5.40317
3C,India,OtherMeat_Fish,2020,6.12781
3C,India,OtherMeat_Fish,2025,7.71891
3C,India,Pork,2015,0.878669
3C,India,Pork,2020,0.998107
3C,India,Pork,2025,1.25648
3C,India,Poultry,2015,7.51889
3C,India,Poultry,2020,8.5158
3C,India,Poultry,2025,10.7116
3C,India,Rice,2015,256.13
3C,India,Rice,2020,266.013
3C,India,Rice,2025,265.045
3C,India,RootTuber,2015,21.6363
3C,India,RootTuber,2020,22.4357
3C,India,RootTuber,2025,22.3424
3C,India,SheepGoat,2015,0.922542
3C,India,SheepGoat,2020,1.04586
3C,India,SheepGoat,2025,1.31664
3C,India,Soybean,2015,18.6119
3C,India,Soybean,2020,20.9533
3C,India,Soybean,2025,26.0893
3C,India,SugarCrop,2015,91.7063
3C,India,SugarCrop,2020,102.542
3C,India,SugarCrop,2025,126.446
3C,India,Vegetables,2015,23.1167
3C,India,Vegetables,2020,25.9873
3C,India,Vegetables,2025,32.2702
3C,India,Wheat,2015,209.929
3C,India,Wheat,2020,218.252
3C,India,Wheat,2025,217.487
3C,Indonesia,Beef,2015,0.732685
3C,Indonesia,Beef,2020,0.907952
3C,Indonesia,Beef,2025,1.06915
3C,Indonesia,Corn,2015,13.1878
3C,Indonesia,Corn,2020,13.687
3C,Indonesia,Corn,2025,13.9317
3C,Indonesia,Dairy,2015,1.20214
3C,Indonesia,Dairy,2020,1.49573
3C,Indonesia,Dairy,2025,1.77024
3C,Indonesia,FiberCrop,2015,1.00E-07
3C,Indonesia,FiberCrop,2020,1.24E-07
3C,Indonesia,FiberCrop,2025,1.46E-07
3C,Indonesia,Fruits,2015,5.64698
3C,Indonesia,Fruits,2020,7.00163
3C,Indonesia,Fruits,2025,8.26343
3C,Indonesia,Legumes,2015,0.692165
3C,Indonesia,Legumes,2020,0.856968
3C,Indonesia,Legumes,2025,1.01221
3C,Indonesia,MiscCrop,2015,1.19417
3C,Indonesia,MiscCrop,2020,1.48421
3C,Indonesia,MiscCrop,2025,1.75575
3C,Indonesia,NutsSeeds,2015,3.68602
3C,Indonesia,NutsSeeds,2020,4.52541
3C,Indonesia,NutsSeeds,2025,5.32826
3C,Indonesia,OilCrop,2015,4.40497
3C,Indonesia,OilCrop,2020,5.42495
3C,Indonesia,OilCrop,2025,6.38404
3C,Indonesia,OilPalm,2015,10.8421
3C,Indonesia,OilPalm,2020,13.487
3C,Indonesia,OilPalm,2025,15.9828
3C,Indonesia,OtherGrain,2015,0.207042
3C,Indonesia,OtherGrain,2020,0.219012
3C,Indonesia,OtherGrain,2025,0.225832
3C,Indonesia,OtherMeat_Fish,2015,4.33568
3C,Indonesia,OtherMeat_Fish,2020,5.41349
3C,Indonesia,OtherMeat_Fish,2025,6.42067
3C,Indonesia,Pork,2015,0.493831
3C,Indonesia,Pork,2020,0.620676
3C,Indonesia,Pork,2025,0.735438
3C,Indonesia,Poultry,2015,2.90085
3C,Indonesia,Poultry,2020,3.57372
3C,Indonesia,Poultry,2025,4.22687
3C,Indonesia,Rice,2015,87.3594
3C,Indonesia,Rice,2020,90.6619
3C,Indonesia,Rice,2025,92.2754
3C,Indonesia,RootTuber,2015,20.8489
3C,Indonesia,RootTuber,2020,21.6846
3C,Indonesia,RootTuber,2025,22.048
3C,Indonesia,SheepGoat,2015,0.11283
3C,Indonesia,SheepGoat,2020,0.140613
