# File: Diet_3C_Ref.csv
# Title: 3C Ref diet by region and sector
# Units: Pcal
# Description: Need 2020 and 2025 values
# Column types: cccnn
# ----------
scenario,region,technology,year,value
3C,Africa_Northern,Rice,2020,10.3367
3C,Africa_Northern,Rice,2025,10.8768
3C,Africa_Northern,RootTuber,2015,3.76582
3C,Africa_Northern,RootTuber,2020,4.06812
3C,Africa_Northern,RootTuber,2025,4.28741
3C,Africa_Northern,SheepGoat,2015,1.03669
3C,Africa_Northern,SheepGoat,2020,1.19937
3C,Africa_Northern,SheepGoat,2025,1.41447
3C,Africa_Northern,Soybean,2015,7.23523
3C,Africa_Northern,Soybean,2020,8.38067
3C,Africa_Northern,Soybean,2025,9.91703
3C,Africa_Northern,SugarCrop,2015,10.8485
3C,Africa_Northern,SugarCrop,2020,12.5149
3C,Africa_Northern,SugarCrop,2025,14.7441
3C,Africa_Northern,Vegetables,2015,5.39308
3C,Africa_Northern,Vegetables,2020,6.23342
3C,Africa_Northern,Vegetables,2025,7.33308
3C,Africa_Northern,Wheat,2015,60.1136
3C,Africa_Northern,Wheat,2020,65.4593
3C,Africa_Northern,Wheat,2025,69.4858
3C,Africa_Southern,Beef,2015,2.23095
3C,Africa_Southern,Beef,2020,2.43887
3C,Africa_Southern,Beef,2025,2.88008
3C,Africa_Southern,Corn,2015,32.4081
3C,Africa_Southern,Corn,2020,38.3581
3C,Africa_Southern,Corn,2025,43.153
3C,Africa_Southern,Dairy,2015,2.29034
3C,Africa_Southern,Dairy,2020,2.49784
3C,Africa_Southern,Dairy,2025,2.9452
3C,Africa_Southern,FiberCrop,2015,0.391688
3C,Africa_Southern,FiberCrop,2020,0.428218
3C,Africa_Southern,FiberCrop,2025,0.508331
3C,Africa_Southern,Fruits,2015,3.50406
3C,Africa_Southern,Fruits,2020,3.82318
3C,Africa_Southern,Fruits,2025,4.52228
3C,Africa_Southern,Legumes,2015,5.49569
3C,Africa_Southern,Legumes,2020,6.07557
3C,Africa_Southern,Legumes,2025,7.27733
3C,Africa_Southern,MiscCrop,2015,0.169423
3C,Africa_Southern,MiscCrop,2020,0.18479
3C,Africa_Southern,MiscCrop,2025,0.218726
3C,Africa_Southern,NutsSeeds,2015,3.74039
3C,Africa_Southern,NutsSeeds,2020,4.11396
3C,Africa_Southern,NutsSeeds,2025,4.91024
3C,Africa_Southern,OilCrop,2015,3.54499
3C,Africa_Southern,OilCrop,2020,3.88065
3C,Africa_Southern,OilCrop,2025,4.59962
3C,Africa_Southern,OilPalm,2015,3.90502
3C,Africa_Southern,OilPalm,2020,4.26946
3C,Africa_Southern,OilPalm,2025,5.06348
3C,Africa_Southern,OtherGrain,2015,3.66215
3C,Africa_Southern,OtherGrain,2020,4.31664
3C,Africa_Southern,OtherGrain,2025,4.853
3C,Africa_Southern,OtherMeat_Fish,2015,1.72829
3C,Africa_Southern,OtherMeat_Fish,2020,1.87155
3C,Africa_Southern,OtherMeat_Fish,2025,2.20404
3C,Africa_Southern,Pork,2015,1.14421
3C,Africa_Southern,Pork,2020,1.24391
3C,Africa_Southern,Pork,2025,1.469
3C,Africa_Southern,Poultry,2015,1.09966
3C,Africa_Southern,Poultry,2020,1.1946
3C,Africa_Southern,Poultry,2025,1.41215
3C,Africa_Southern,Rice,2015,7.56004
3C,Africa_Southern,Rice,2020,8.86871
3C,Africa_Southern,Rice,2025,9.94041
3C,Africa_Southern,RootTuber,2015,20.9533
3C,Africa_Southern,RootTuber,2020,24.5751
3C,Africa_Southern,RootTuber,2025,27.4222
3C,Africa_Southern,SheepGoat,2015,0.21087
3C,Africa_Southern,SheepGoat,2020,0.228275
3C,Africa_Southern,SheepGoat,2025,0.268367
3C,Africa_Southern,Soybean,2015,2.27142
3C,Africa_Southern,Soybean,2020,2.4812
3C,Africa_Southern,Soybean,2025,2.94697
3C,Africa_Southern,SugarCrop,2015,6.51498
3C,Africa_Southern,SugarCrop,2020,7.11485
3C,Africa_Southern,SugarCrop,2025,8.44669
3C,Africa_Southern,Vegetables,2015,1.02947
3C,Africa_Southern,Vegetables,2020,1.12167
3C,Africa_Southern,Vegetables,2025,1.32515
3C,Africa_Southern,Wheat,2015,7.99606
3C,Africa_Southern,Wheat,2020,9.4152
3C,Africa_Southern,Wheat,2025,10.5761
3C,Africa_Western,Beef,2015,2.10882
3C,Africa_Western,Beef,2020,2.35973
3C,Africa_Western,Beef,2025,2.81069
3C,Africa_Western,Corn,2015,36.1923
3C,Africa_Western,Corn,2020,41.8576
3C,Africa_Western,Corn,2025,46.7744
3C,Africa_Western,Dairy,2015,2.93981
3C,Africa_Western,Dairy,2020,3.27396
3C,Africa_Western,Dairy,2025,3.89306
3C,Africa_Western,FiberCrop,2015,1.37815
3C,Africa_Western,FiberCrop,2020,1.55174
3C,Africa_Western,FiberCrop,2025,1.85786
3C,Africa_Western,Fruits,2015,10.9278
3C,Africa_Western,Fruits,2020,12.2274
3C,Africa_Western,Fruits,2025,14.5593
3C,Africa_Western,Legumes,2015,12.4133
3C,Africa_Western,Legumes,2020,13.9988
3C,Africa_Western,Legumes,2025,16.7759
3C,Africa_Western,MiscCrop,2015,0.938086
3C,Africa_Western,MiscCrop,2020,1.0508
3C,Africa_Western,MiscCrop,2025,1.25276
3C,Africa_Western,NutsSeeds,2015,18.5684
3C,Africa_Western,NutsSeeds,2020,20.772
3C,Africa_Western,NutsSeeds,2025,24.7265
3C,Africa_Western,OilCrop,2015,6.45222
3C,Africa_Western,OilCrop,2020,7.27817
3C,Africa_Western,OilCrop,2025,8.72533
3C,Africa_Western,OilPalm,2015,19.84
3C,Africa_Western,OilPalm,2020,22.2712
3C,Africa_Western,OilPalm,2025,26.6163
3C,Africa_Western,OtherGrain,2015,43.5636
3C,Africa_Western,OtherGrain,2020,50.359
3C,Africa_Western,OtherGrain,2025,56.3096
3C,Africa_Western,OtherMeat_Fish,2015,4.47134
3C,Africa_Western,OtherMeat_Fish,2020,4.97947
3C,Africa_Western,OtherMeat_Fish,2025,5.92528
3C,Africa_Western,Pork,2015,0.917281
3C,Africa_Western,Pork,2020,1.03201
3C,Africa_Western,Pork,2025,1.23957
3C,Africa_Western,Poultry,2015,1.91919
3C,Africa_Western,Poultry,2020,2.15141
3C,Africa_Western,Poultry,2025,2.57632
3C,Africa_Western,Rice,2015,42.9752
3C,Africa_Western,Rice,2020,49.6455
3C,Africa_Western,Rice,2025,55.5719
3C,Africa_Western,RootTuber,2015,95.8699
3C,Africa_Western,RootTuber,2020,110.664
3C,Africa_Western,RootTuber,2025,123.522
3C,Africa_Western,SheepGoat,2015,1.22307
3C,Africa_Western,SheepGoat,2020,1.36239
3C,Africa_Western,SheepGoat,2025,1.6191
3C,Africa_Western,Soybean,2015,2.0473
3C,Africa_Western,Soybean,2020,2.30559
