# File: GCAM_FoodWaste_Share_Pathway_SSP.csv
# Title: Share of food waste per food calorie supply projections by SSP
# Unit: Share
# Description: Base year data derived based on three food groups including animal  FruitsVeg  and other. Projection based on the relatioship with income with a ceiling. Half waste reduction by 2050 is produced
# Source: Derived based on AgMIP and FAO
# Column types: cciinn
# ----------
GCAM_commodity,scenario,GCAM_region_ID,year,WasteShare,HalfWaste2050
Beef,SSP5,20,2015,0.317532441,0.317532441
Beef,SSP1,21,2015,0.200584427,0.200584427
Beef,SSP2,21,2015,0.200584427,0.200584427
Beef,SSP3,21,2015,0.200584427,0.200584427
Beef,SSP4,21,2015,0.200584427,0.200584427
Beef,SSP5,21,2015,0.200584427,0.200584427
Beef,SSP1,22,2015,0.196306476,0.196306476
Beef,SSP2,22,2015,0.196306476,0.196306476
Beef,SSP3,22,2015,0.196306476,0.196306476
Beef,SSP4,22,2015,0.196306476,0.196306476
Beef,SSP5,22,2015,0.196306476,0.196306476
Beef,SSP1,23,2015,0.301109112,0.301109112
Beef,SSP2,23,2015,0.301109112,0.301109112
Beef,SSP3,23,2015,0.301109112,0.301109112
Beef,SSP4,23,2015,0.301109112,0.301109112
Beef,SSP5,23,2015,0.301109112,0.301109112
Beef,SSP1,24,2015,0.220437938,0.220437938
Beef,SSP2,24,2015,0.220437938,0.220437938
Beef,SSP3,24,2015,0.220437938,0.220437938
Beef,SSP4,24,2015,0.220437938,0.220437938
Beef,SSP5,24,2015,0.220437938,0.220437938
Beef,SSP1,25,2015,0.053780602,0.053780602
Beef,SSP2,25,2015,0.053780602,0.053780602
Beef,SSP3,25,2015,0.053780602,0.053780602
Beef,SSP4,25,2015,0.053780602,0.053780602
Beef,SSP5,25,2015,0.053780602,0.053780602
Beef,SSP1,26,2015,0.293149108,0.293149108
Beef,SSP2,26,2015,0.293149108,0.293149108
Beef,SSP3,26,2015,0.293149108,0.293149108
Beef,SSP4,26,2015,0.293149108,0.293149108
Beef,SSP5,26,2015,0.293149108,0.293149108
Beef,SSP1,27,2015,0.374157583,0.374157583
Beef,SSP2,27,2015,0.374157583,0.374157583
Beef,SSP3,27,2015,0.374157583,0.374157583
Beef,SSP4,27,2015,0.374157583,0.374157583
Beef,SSP5,27,2015,0.374157583,0.374157583
Beef,SSP1,28,2015,0.457680801,0.457680801
Beef,SSP2,28,2015,0.457680801,0.457680801
Beef,SSP3,28,2015,0.457680801,0.457680801
Beef,SSP4,28,2015,0.457680801,0.457680801
Beef,SSP5,28,2015,0.457680801,0.457680801
Beef,SSP1,29,2015,0.453875137,0.453875137
Beef,SSP2,29,2015,0.453875137,0.453875137
Beef,SSP3,29,2015,0.453875137,0.453875137
Beef,SSP4,29,2015,0.453875137,0.453875137
Beef,SSP5,29,2015,0.453875137,0.453875137
Beef,SSP1,30,2015,0.431711564,0.431711564
Beef,SSP2,30,2015,0.431711564,0.431711564
Beef,SSP3,30,2015,0.431711564,0.431711564
Beef,SSP4,30,2015,0.431711564,0.431711564
Beef,SSP5,30,2015,0.431711564,0.431711564
Beef,SSP1,31,2015,0.34738006,0.34738006
Beef,SSP2,31,2015,0.34738006,0.34738006
Beef,SSP3,31,2015,0.34738006,0.34738006
Beef,SSP4,31,2015,0.34738006,0.34738006
Beef,SSP5,31,2015,0.34738006,0.34738006
Beef,SSP1,32,2015,0.335897734,0.335897734
Beef,SSP2,32,2015,0.335897734,0.335897734
Beef,SSP3,32,2015,0.335897734,0.335897734
Beef,SSP4,32,2015,0.335897734,0.335897734
Beef,SSP5,32,2015,0.335897734,0.335897734
Beef,gSSP1,1,2015,0.366521026,0.366521026
Beef,gSSP2,1,2015,0.366521026,0.366521026
Beef,gSSP3,1,2015,0.366521026,0.366521026
Beef,gSSP4,1,2015,0.366521026,0.366521026
Beef,gSSP5,1,2015,0.366521026,0.366521026
Beef,gSSP1,2,2015,0.201692571,0.201692571
Beef,gSSP2,2,2015,0.201692571,0.201692571
Beef,gSSP3,2,2015,0.201692571,0.201692571
Beef,gSSP4,2,2015,0.201692571,0.201692571
Beef,gSSP5,2,2015,0.201692571,0.201692571
Beef,gSSP1,3,2015,0.32643647,0.32643647
Beef,gSSP2,3,2015,0.32643647,0.32643647
Beef,gSSP3,3,2015,0.32643647,0.32643647
Beef,gSSP4,3,2015,0.32643647,0.32643647
Beef,gSSP5,3,2015,0.32643647,0.32643647
Beef,gSSP1,4,2015,0.233240822,0.233240822
Beef,gSSP2,4,2015,0.233240822,0.233240822
Beef,gSSP3,4,2015,0.233240822,0.233240822
Beef,gSSP4,4,2015,0.233240822,0.233240822
Beef,gSSP5,4,2015,0.233240822,0.233240822
Beef,gSSP1,5,2015,0.405603855,0.405603855
Beef,gSSP2,5,2015,0.405603855,0.405603855
Beef,gSSP3,5,2015,0.405603855,0.405603855
Beef,gSSP4,5,2015,0.405603855,0.405603855
Beef,gSSP5,5,2015,0.405603855,0.405603855
Beef,gSSP1,6,2015,0.297773096,0.297773096
Beef,gSSP2,6,2015,0.297773096,0.297773096
Beef,gSSP3,6,2015,0.297773096,0.297773096
Beef,gSSP4,6,2015,0.297773096,0.297773096
Beef,gSSP5,6,2015,0.297773096,0.297773096
Beef,gSSP1,7,2015,0.362467337,0.362467337
Beef,gSSP2,7,2015,0.362467337,0.362467337
Beef,gSSP3,7,2015,0.362467337,0.362467337
Beef,gSSP4,7,2015,0.362467337,0.362467337
Beef,gSSP5,7,2015,0.362467337,0.362467337
Beef,gSSP1,8,2015,0.388583438,0.388583438
Beef,gSSP2,8,2015,0.388583438,0.388583438
Beef,gSSP3,8,2015,0.388583438,0.388583438
Beef,gSSP4,8,2015,0.388583438,0.388583438
Beef,gSSP5,8,2015,0.388583438,0.388583438
Beef,gSSP1,9,2015,0.255717443,0.255717443
Beef,gSSP2,9,2015,0.255717443,0.255717443
