# File: A52.inc_elas_SSP2.csv,
# Title: Transportation sector income elasticity,
# Units: pcgdp_90thousUSD: Thousand 1990$; inc_elas:Unitless (% change in service demand / % change in income),
# Description: Aggregate transportation demand income elasticity as a function of per-capita gdp,
# Source: Unknown,
# Column types: nn
# ----------
pcgdp_90thousUSD,inc_elas
0,1.25
2.5,1.25
5,1.25
10,1.25
15,0.86
20,0.7
25,0.66
30,0.62
35,0.58
40,0.54
45,0.5
50,0.46
55,0.43
60,0.4
65,0.4
70,0.4
