# File: KGL2021_constrProdEmis_ObsAgage_OECD-SSP3.csv
# Title: Historical and future global and regional HFC Emissions - Kigali Compliant High
# Units: Emissions (ton/yr)
# Comment: HFC scenario upper range current policy 2022 scenario from Velders et al., ACP 2022.
# Comment: Same data as in paper supplemental files, supplied by G. Velders with additional decimals to avoid numerical aliasing
# Source: https://acp.copernicus.org/articles/22/6087/2022/ 
# Column types: cinnnnnnnnnn
# ----------
Species,Year,Prod_tot,Bank_tot,Emis_tot,Mix_tot,Prod_nonA5,Prod_A5,Bank_nonA5,Bank_A5,Emis_nonA5,Emis_A5
HFC-125,1990,28.67,0,2.37,0,28.67,0,0,0,2.37,0
HFC-125,1991,88.41,26.299,8.19,0.0001,88.41,0,26.299,0,8.19,0
HFC-125,1992,62.59,106.519,615.623,0.0005,62.59,0,106.519,0,615.623,0
HFC-125,1993,2423.265,-446.515,1037.012,0.0312,2423.265,0,-446.515,0,1037.012,0
HFC-125,1994,6685.54,939.739,1069.93,0.0818,6685.54,0,939.739,0,1069.93,0
HFC-125,1995,11769.198,6555.349,3111.035,0.1324,11769.198,0,6555.349,0,3111.035,0
HFC-125,1996,12212.31,15213.509,4213.882,0.283,12212.31,0,15213.509,0,4213.882,0
HFC-125,1997,16124.697,23211.936,7576.528,0.4835,16124.697,0,23211.936,0,7576.528,0
HFC-125,1998,15837.098,31760.096,6231.472,0.8449,15837.098,0,31760.096,0,6231.472,0
HFC-125,1999,18135.006,41365.723,5881.801,1.1275,18135.006,0,41365.723,0,5881.801,0
HFC-125,2000,12375.648,53618.926,8222.613,1.3835,12375.648,0,53618.926,0,8222.613,0
HFC-125,2001,22074.172,57771.969,9201.623,1.7476,22074.172,0,57771.969,0,9201.623,0
HFC-125,2002,31965.086,70644.508,10844.878,2.1485,31965.086,0,70644.508,0,10844.878,0
HFC-125,2003,33287.148,91764.734,12917.931,2.6181,33287.148,0,91764.734,0,12917.931,0
HFC-125,2004,37729.5,112133.93,14031.684,3.1755,37729.5,0,112133.93,0,14031.684,0
HFC-125,2005,47780.781,135831.781,15333.589,3.7701,47780.781,0,135831.781,0,15333.589,0
HFC-125,2006,54815.523,168278.953,18438.172,4.4101,53009.609,1805.915,168278.953,0,18325.607,112.566
HFC-125,2007,59780.477,204656.297,21449.195,5.1837,56956.371,2824.106,202962.953,1693.35,21164.482,284.712
HFC-125,2008,68146.805,242987.609,24836.658,6.0818,63794.563,4352.241,238754.859,4232.744,24293.223,543.435
HFC-125,2009,81400.43,286297.688,27617.543,7.1192,74069.047,7331.381,278256.156,8041.55,26677.863,939.68
HFC-125,2010,94801.359,340080.594,33607.609,8.261,81487.492,13313.865,325647.344,14433.251,31826.301,1781.309
HFC-125,2011,113480.023,401274.438,38192.188,9.6637,78126.453,35353.563,375308.625,25965.809,33798.348,4393.837
HFC-125,2012,123941.984,476562.188,43229.367,11.2487,85058.281,38883.711,419636.656,56925.531,36233.25,6996.118
HFC-125,2013,124964.984,557274.813,48158.715,13.0326,76917.75,48047.234,468461.719,88813.117,38225.02,9933.691
HFC-125,2014,135124.406,634081.125,54146.176,15.0035,77106.266,58018.137,507154.469,126926.648,40669.09,13477.086
HFC-125,2015,160561.734,715059.25,58970.359,17.2079,83644.602,76917.133,543591.563,171467.703,41553.191,17417.168
HFC-125,2016,161707.563,816650.813,65888.125,19.5802,82678.383,79029.211,585683.125,230967.656,43981.637,21906.488
HFC-125,2017,178941.688,912470.25,74919.305,22.2193,86177.633,92764.055,624379.813,288090.375,47380.27,27539.041
HFC-125,2018,198460.516,1016492.5,79151.477,25.2216,93014.297,105446.211,663177.125,353315.375,47476.457,31675.023
HFC-125,2019,186283.531,1135801.25,82653.984,28.3361,75677.547,110606,708714.813,427086.563,46867.629,35786.359
HFC-125,2020,205100.359,1239431,93613.125,31.523,74644.289,130456.078,737524.813,501906.188,49962.984,43650.148
HFC-125,2021,209308.203,1350918.375,100115.648,35.1511,70725.734,138582.484,762206.188,588712.125,50343.684,49771.973
HFC-125,2022,217918.313,1460110.875,106804.656,38.9841,70633.414,147284.891,782588.125,677522.625,50802.863,56001.785
HFC-125,2023,227000.875,1571224.875,113660.594,43.0245,70532.016,156468.875,802419,768805.813,51293.445,62367.16
HFC-125,2024,215292.406,1684564.875,119174.242,47.2739,49050.754,166241.656,821657.438,862907.438,50274.383,68899.852
HFC-125,2025,251908.047,1780683,126638.984,51.6585,48606.52,203301.516,820433.75,960249.313,49407.813,77231.18
HFC-125,2026,253991.203,1905952,133851.594,56.271,47927.359,206063.844,819632.5,1086319.625,48652.637,85198.945
HFC-125,2027,254316.344,2026091.875,140677.672,61.0916,45393.402,208922.938,818907.313,1207184.5,47843.625,92834.047
HFC-125,2028,256642.313,2139730.25,147289.703,66.0939,44757.887,211884.422,816457.063,1323273.5,47124.266,100165.445
HFC-125,2029,229213.5,2249083.25,151707.578,71.2616,25717.914,203495.594,814090.813,1434992.375,45186.414,106521.164
HFC-125,2030,242829.359,2326589,156765.594,76.4798,24516.404,218312.953,794622.25,1531966.875,43410.277,113355.32
HFC-125,2031,243318.609,2412652.5,161617.484,81.7788,24411.447,218907.172,775728.188,1636924.5,41816.758,119800.75
HFC-125,2032,239086.625,2494353.75,165905.219,87.1457,24219.768,214866.859,758323,1736030.75,40392.465,125512.766
HFC-125,2033,238223.188,2567535.5,169942.531,92.5502,24017.637,214205.547,742150.438,1825385,39112.715,130829.805
HFC-125,2034,230574.563,2635816,173248.719,97.9785,17037.268,213537.313,727055.313,1908760.75,37472.195,135776.531
HFC-125,2035,193467.797,2693142.25,174171.625,103.3935,16906.096,176561.703,706620.438,1986521.625,36000.48,138171.156
HFC-125,2036,188559.594,2712438.5,174755.422,108.6769,12435.45,176124.141,687525.938,2024912.125,34363.711,140391.719
HFC-125,2037,182368.656,2726242.25,174909.703,113.8162,12435.667,169933,665597.688,2060644.75,32891.563,142018.141
HFC-125,2038,181930.906,2733701,175090.578,118.7947,12435.882,169495.016,645141.688,2088559.375,31562.686,143527.891
HFC-125,2039,181494.797,2740541.5,175286.359,123.619,12436.084,169058.703,626014.938,2114526.75,30359.057,144927.313
HFC-125,2040,145564.578,2746750,173328.625,128.2949,12436.296,133128.281,608091.875,2138658,29265.295,144063.344
HFC-125,2041,145286.578,2718986,171512.5,132.72,12436.926,132849.641,591262.875,2127723,28268.27,143244.234
HFC-125,2042,139292.516,2692760,169399.484,136.9095,12437.545,126854.969,575431.5,2117328.5,27356.625,142042.875
HFC-125,2043,139024.563,2662653,167435.5,140.8566,12438.176,126586.383,560512.5,2102140.5,26520.566,140914.938
HFC-125,2044,138754.719,2634242,165605.656,144.5764,12438.785,126315.938,546430.063,2087812,25751.646,139854
