# File: EDGAR_all_F_gases.csv
# Title: EDGAR F gases trend
# Units: Kt
# Source: EDGAR GHG_2024 https://edgar.jrc.ec.europa.eu/dataset_ghg2024
# Comments: EDGAR inventory of F gases compounds c-C4F8, C2F6, C3F8, C4F10, C5F12, C6F14, CF4, HCFC-141b, HCFC-142b, HFC-125, HFC-134, HFC-134a, HFC-143, HFC-143a, HFC-152a, HFC-227ea, HFC-23, HFC-236fa, HFC-245fa, HFC-32, HFC-365mfc, HFC-41, HFC-43-10-mee, NF3, SF6
# Column types: ccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_1996_for_standard_report,ipcc_code_1996_for_standard_report_name,Substance,fossil_bio,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Non-Annex_I,Southern_Africa,AGO,Angola,2F1a,Commerical refrigeration,HFC-134a,fossil,8.69E-05,0.00035061,0.000466518,0.000581571,0.001972419,0.003363267,0.004754115,0.006144963,0.007535811,0.008926659,0.020411485,0.028152105,0.034163552,0.041011972,0.048814218,0.058096338,0.059323596,0.060550854,0.061778112,0.063005371,0.064232629,0.065459887,0.066687145,0.067914403,0.078924176,0.094137314,0.110496138,0.124514467,0.142389412,0.158473445,0.17446588,0.191116351,0.207358664,0.223653738
Non-Annex_I,Southern_Africa,AGO,Angola,2F1a,Commerical refrigeration,HFC-143a,fossil,0,0,0,6.47E-05,0.000162596,0.000377774,0.00079934,0.001251011,0.001890664,0.002666826,0.003523853,0.004309092,0.005205452,0.006188141,0.007003215,0.008593826,0.009443333,0.009950826,0.010582253,0.010761554,0.01058199,0.010941146,0.011300302,0.011659458,0.012018613,0.012377769,0.014445861,0.016875278,0.019863734,0.022359056,0.024996787,0.027703957,0.030317365,0.032970134
Non-Annex_I,Southern_Africa,AGO,Angola,2F4,Aerosols,HFC-152a,fossil,1.97E-05,0.002157943,0.004243112,0.006214308,0.008568551,0.010897586,0.013220702,0.015371964,0.017803658,0.020039589,0.021525201,0.020291569,0.021644386,0.022903811,0.022697657,0.020597865,0.024437498,0.028277132,0.032116765,0.035956399,0.039039261,0.039749069,0.038206691,0.039340234,0.039703976,0.03952779,0.039447107,0.04214524,0.044068138,0.045581587,0.047626414,0.049453472,0.051248584,0.053137582
Non-Annex_I,Southern_Africa,AGO,Angola,2F4,Aerosols,HFC-227ea,fossil,0,0,0,0,0,2.53E-05,0.000105705,0.000213767,0.000420325,0.000649896,0.001002898,0.001372408,0.00177353,0.002198759,0.00258731,0.002641461,0.002900053,0.003026139,0.003048206,0.003129471,0.003225295,0.003185468,0.003127832,0.003262564,0.00342661,0.003557056,0.003719682,0.003842697,0.004029001,0.004186316,0.004341861,0.004508249,0.004667998,0.004828558
Non-Annex_I,Southern_Africa,AGO,Angola,2F2a,Closed cell foam,HFC-245fa,fossil,0,0,0,0,0,0,0,0,0,0,0,0,1.41E-05,0.001616215,0.001477086,0.001567048,0.003151624,0.004415233,0.006588212,0.008322073,0.009580967,0.0100987,0.010616258,0.010343455,0.011005486,0.012011625,0.012409238,0.013674838,0.014462616,0.015279613,0.016236405,0.01709026,0.017966142,0.018861651
Non-Annex_I,Southern_Africa,AGO,Angola,2F1a,Commerical refrigeration,HFC-32,fossil,0,0,0,0,0,0,0,0,0,0.00043782,0.000875641,0.001313382,0.001751091,0.002188781,0.002626451,0.002893264,0.002305855,0.002342116,0.002378376,0.002414636,0.00496549,0.003848725,0.002872018,0.002796487,0.003729298,0.004726364,0.004726364,0.004726364,0.004726364,0.004726364,0.004726364,0.004726364,0.004726364,0.004726364
Non-Annex_I,Southern_Africa,AGO,Angola,2F2a,Closed cell foam,HFC-365mfc,fossil,0,0,0,0,0,0,0,0,0,6.08E-05,0.000121564,0.000182346,0.000243128,0.00030391,0.000344514,0.000388362,0.00097567,0.001490322,0.002307121,0.00307787,0.003630104,0.00381253,0.004172262,0.004386687,0.004463425,0.004374196,0.004505924,0.004751612,0.00514579,0.005402988,0.005702009,0.006018808,0.006309815,0.00661209
Non-Annex_I,Central Europe,ALB,Albania,2F9,Other F-gas use,HCFC-141b,fossil,1.28E-06,2.01E-05,0.000192497,0.000832439,0.00191128,0.00328777,0.00417318,0.00316614,0.00423339,0.00518387,0.00596197,0.00751535,0.00873116,0.00949869,0.0107245,0.0122816,0.0103379,0.00574079,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367,0.00114367
Non-Annex_I,Central Europe,ALB,Albania,2F9,Other F-gas use,HCFC-142b,fossil,0.000455664,0.000603567,0.000786508,0.00112415,0.00152104,0.00194234,0.00218196,0.00164733,0.00193877,0.00232349,0.00263844,0.00298487,0.00273241,0.00311476,0.00381415,0.00451247,0.00385417,0.00388892,0.00392368,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106,0.00394106
Non-Annex_I,Central Europe,ALB,Albania,2F1a,Commerical refrigeration,HFC-125,fossil,0,0,0,0,0,0,0,0,1.98E-05,0.000435178,0.001192018,0.002034883,0.002917109,0.003816833,0.004912013,0.006092559,0.006284885,0.006009283,0.006025897,0.006209385,0.005507273,0.005312956,0.005455848,0.005717837,0.005979826,0.006241816,0.006919816,0.007562967,0.00830802,0.008996755,0.009689068,0.010397768,0.01109435,0.011793549
