; default emissions and input from SSP245 these are Hector inputs not provided by GCAM and do not vary with scenario,,,,,,,,,,,,,,,,,,,,
; commit eb2b79f43a291af,,,,,,,,,,,,,,,,,,,,
; date Tue Sep  2 11:44:20 2025,,,,,,,,,,,,,,,,,,,,
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1782,0.024856862,0,0,0,0,0,105.03125,0,4272.7759,218.0012162,0,0,0,0,9.272438092,-0.007342632,0.185761713,0.007723273,0,0
1783,0.024856862,0,0,0,0,0,105.0436,0,4273.4248,217.7565141,0,0,0,0,9.278880058,-0.007572089,-1.607111309,0.007723273,0,0
1784,0.024856862,0,0,0,0,0,105.05531,0,4274.0405,218.2919213,0,0,0,0,9.269191743,-0.007801547,-3.487549643,0.007723273,0,0
1785,0.024856862,0,0,0,0,0,105.02817,0,4272.6136,217.6257097,0,0,0,0,9.274878548,-0.008031004,-1.322721197,0.007723273,0,0
1786,0.024856862,0,0,0,0,0,105.02684,0,4272.5442,217.914109,0,0,0,0,9.267544796,-0.008260461,-0.487257524,0.007723273,0,0
1787,0.024856862,0,0,0,0,0,105.03415,0,4272.9283,217.1057467,0,0,0,0,9.245514774,-0.008489918,-0.096137761,0.007723273,0,0
1788,0.024856862,0,0,0,0,0,104.9922,0,4270.7227,217.4024391,0,0,0,0,9.259371286,-0.008719376,0.088531065,0.007723273,0,0
1789,0.024856862,0,0,0,0,0,105.0242,0,4272.405,217.8290747,0,0,0,0,9.256980693,-0.008948833,0.152985893,0.007723273,0,0
1790,0.024856862,0,0,0,0,0,104.99139,0,4270.6805,217.9300179,0,0,0,0,9.27201568,-0.00917829,0.174747138,0.007723273,0,0
1791,0.024856862,0,0,0,0,0,105.02128,0,4272.2515,218.6228593,0,0,0,0,9.276347927,-0.009407747,0.182061991,0.007723273,0,0
1792,0.024856862,0,0,0,0,0,105.04466,0,4273.4807,219.0761215,0,0,0,0,9.279736234,-0.009637205,0.184519353,0.007723273,0,0
1793,0.024856862,0,0,0,0,0,105.02605,0,4272.5025,218.5811146,0,0,0,0,9.257664883,-0.009866662,0.185344816,0.007723273,0,0
1794,0.024856862,0,0,0,0,0,104.98417,0,4270.301,218.1750008,0,0,0,0,9.265620776,-0.010096119,0.1856221,0.007723273,0,0
1795,0.024856862,0,0,0,0,0,105.01093,0,4271.7076,218.7633671,0,0,0,0,9.281315667,-0.010325576,0.185715243,0.007723273,0,0
1796,0.024856862,0,0,0,0,0,104.99978,0,4271.1214,219.2663496,0,0,0,0,9.266254016,-0.010555034,0.056138903,0.007723273,0,0
1797,0.024856862,0,0,0,0,0,105.01623,0,4271.986,219.3227162,0,0,0,0,9.256768983,-0.010784491,-0.042794853,0.007723273,0,0
1798,0.024856862,0,0,0,0,0,105.0081,0,4271.559,219.6661643,0,0,0,0,9.268184726,-0.011013948,0.057545268,0.007723273,0,0
1799,0.024856862,0,0,0,0,0,104.99068,0,4270.6431,219.6361267,0,0,0,0,9.265157364,-0.011243405,0.140354145,0.007723273,0,0
1800,0.024856862,0,0,0,0,0,104.95838,0,4268.9449,219.4459224,0,0,0,0,9.266223299,-0.011477677,0.170402887,0.007723273,0,0
1801,0.024856862,0,0,0,0,0,105.01099,0,4271.7107,219.9010575,0,0,0,0,9.271050905,-0.011716461,0.180598096,0.007723273,0,0
1802,0.024856862,0,0,0,0,0,104.99468,0,4270.8532,220.0424689,0,0,0,0,9.277473853,-0.011955246,0.184027398,0.007723273,0,0
